"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Diagnosis of Alzheimer's Disease Using Machine Learning","P. Lodha; A. Talele; K. Degaonkar","Department of EnTC, Vishwakarma Institute of Technology, Pune, India; Department of EnTC, Vishwakarma Institute of Technology, Pune, India; Department of EnTC, Vishwakarma Institute of Technology, Pune, India","2018 Fourth International Conference on Computing Communication Control and Automation (ICCUBEA)","25 Apr 2019","2018","","","1","4","Machine learning is being widely used in various medical fields. Advances in medical technologies have given access to better data for identifying symptoms of various diseases in early stages. Alzheimer's disease is chronic condition that leads to degeneration of brain cells leading at memory enervation. Patients with cognitive mental problems such as confusion and forgetfulness, also other symptoms including behavioral and psychological problems are further suggested having CT, MRI, PET, EEG, and other neuroimaging techniques. The aim of this paper is making use of machine learning algorithms to process this data obtained by neuroimaging technologies for detection of Alzheimer's in its primitive stage.","","978-1-5386-5257-2","10.1109/ICCUBEA.2018.8697386","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8697386","Linear Regression;Machine Learning algorithm;Alzheimer's disease symptoms;Random Forest;Gradient Boosting Algorithm;Neural Network","Machine learning algorithms;Alzheimer's disease;Support vector machines;Boosting;Classification algorithms","biomedical MRI;brain;cognition;diseases;learning (artificial intelligence);medical image processing;neurophysiology;psychology","behavioral problems;psychological problems;neuroimaging technologies;Alzheimer's disease;machine learning;medical fields;medical technologies;chronic condition;brain cells;memory enervation;cognitive mental problems;confusion;forgetfulness;neuroimaging techniques;MRI;CT;PET;EEG","","3","","9","","25 Apr 2019","","","IEEE","IEEE Conferences"
"Deep learning to predict Alzheimer's disease from neuroimaging of MRI analysis : A systematic study","K. D. T; M. G; J. S; D. K. K","SRM Institute of science and Technology,Department of Information Technology,Chennai,India,603203; SRM Institute of science and Technology,Department of Information Technology,Chennai,India,603203; SRM Institute of science and Technology,Department of Information Technology,Chennai,India,603203; SRM Institute of science and Technology,Department of Information Technology,Chennai,India,603203","2020 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)","9 Feb 2021","2020","","","1","9","Alzheimer's disease causes memory loss and greatly affects the patient's quality of life. WHO recognizes it as a health priority. There are 45 million patients and worldwide and every year there are 10 million new cases. The projected rate estimates 82 million patients in 2030 and 132 million in 2050. Deep learning Algorithms, specifically convolutional networks, has quickly turned into a strategy of decision for examining medicinal pictures. This paper surveys the real deep learning ideas relevant to medicinal image analyzing more than 300 commitments to the field, the majority of which showed up in the most recent years. This system lets us upload a brain MRI image and tells us whether or not that person has Alzheimer's disease. Currently, doctors and radiologists read the MRI image and detect the disease. But doctors are humans, prone to error. Also, what differentiates doctors is not their knowledge. It's determines how they approach the problem to interpret the health model which will support them. Radiologists regularly disagree of their respective interpretations of medical images - false positives and false negatives. AI can do what no radiologist can! - AI has the ability to learn from hundreds of thousands of medical images & is estimated to be upto 10% more accurate than an average radiologist. This accuracy gap will only keep increasing with time, with cheaper computing power and more data in the future.","","978-1-7281-1084-4","10.1109/ICPECTS49113.2020.9336962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9336962","","Deep learning;Magnetic resonance imaging;Medical services;Alzheimer's disease;Artificial intelligence;Medical diagnostic imaging;Diseases","biomedical MRI;brain;diseases;learning (artificial intelligence);medical image processing;neurophysiology;patient treatment","Alzheimer disease;MRI analysis;memory loss;deep learning Algorithms;convolutional networks;medicinal pictures;deep learning ideas;medicinal image;brain MRI image;medical images","","","","23","","9 Feb 2021","","","IEEE","IEEE Conferences"
"Leveraging Coupled Interaction for Multimodal Alzheimer’s Disease Diagnosis","Y. Shi; H. -I. Suk; Y. Gao; S. -W. Lee; D. Shen","State Key Laboratory of Novel Software Technology, Nanjing University, Nanjing, China; Department of Brain and Cognitive Engineering, Korea University, Seoul, South Korea; State Key Laboratory of Novel Software Technology, Nanjing University, Nanjing, China; Department of Brain and Cognitive Engineering, Korea University, Seoul, South Korea; Department of Brain and Cognitive Engineering, Korea University, Seoul, South Korea","IEEE Transactions on Neural Networks and Learning Systems","3 Jan 2020","2020","31","1","186","200","As the population becomes older worldwide, accurate computer-aided diagnosis for Alzheimer's disease (AD) in the early stage has been regarded as a crucial step for neurodegeneration care in recent years. Since it extracts the low-level features from the neuroimaging data, previous methods regarded this computer-aided diagnosis as a classification problem that ignored latent featurewise relation. However, it is known that multiple brain regions in the human brain are anatomically and functionally interlinked according to the current neuroscience perspective. Thus, it is reasonable to assume that the extracted features from different brain regions are related to each other to some extent. Also, the complementary information between different neuroimaging modalities could benefit multimodal fusion. To this end, we consider leveraging the coupled interactions in the feature level and modality level for diagnosis in this paper. First, we propose capturing the feature-level coupled interaction using a coupled feature representation. Then, to model the modality-level coupled interaction, we present two novel methods: 1) the coupled boosting (CB) that models the correlation of pairwise coupled-diversity on both inconsistently and incorrectly classified samples between different modalities and 2) the coupled metric ensemble (CME) that learns an informative feature projection from different modalities by integrating the intrarelation and interrelation of training samples. We systematically evaluated our methods with the AD neuroimaging initiative data set. By comparison with the baseline learning-based methods and the state-of-the-art methods that are specially developed for AD/MCI (mild cognitive impairment) diagnosis, our methods achieved the best performance with accuracy of 95.0% and 80.7% (CB), 94.9% and 79.9% (CME) for AD/NC (normal control), and MCI/NC identification, respectively.","2162-2388","","10.1109/TNNLS.2019.2900077","National Natural Science Foundation of China; Young Elite Scientists Sponsorship Program China Association for Science and Technology; China Computer Federation-Tencent Open Research Fund; NIH Clinical Center; Institute of Information and Communications Technology Planning and Evaluation Grant through the Korea Government; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672088","Computer-aided AD/MCI diagnosis;coupled boosting (CB);coupled feature (CFR) representation;coupled metric ensemble (CME)","Feature extraction;Magnetic resonance imaging;Neuroimaging;Measurement;Kernel;Training;Brain modeling","biomedical MRI;brain;cognition;diseases;feature extraction;image classification;image representation;learning (artificial intelligence);medical image processing;neurophysiology","coupled metric ensemble;informative feature projection;AD neuroimaging initiative data;baseline learning-based methods;incorrectly classified samples;inconsistently classified samples;pairwise coupled-diversity;coupled boosting;modality-level coupled interaction;coupled feature representation;feature-level coupled interaction;modality level;feature level;coupled interactions;multimodal fusion;neuroimaging modalities;complementary information;brain regions;current neuroscience perspective;human brain;multiple brain regions;latent featurewise relation;classification problem;neuroimaging data;low-level features;neurodegeneration care;accurate computer-aided diagnosis;multimodal Alzheimer's disease","Algorithms;Alzheimer Disease;Brain;Cognitive Dysfunction;Diagnosis, Computer-Assisted;Humans;Machine Learning;Magnetic Resonance Imaging;Neural Networks, Computer;Neuroimaging;Positron-Emission Tomography;Reproducibility of Results","4","","82","IEEE","20 Mar 2019","","","IEEE","IEEE Journals"
"Anatomical Landmarks and DAG Network Learning for Alzheimer’s Disease Diagnosis","T. Zhu; C. Cao; Z. Wang; G. Xu; J. Qiao","Shandong Province Key Laboratory of Medical Physics and Image Processing Technology, School of Physics and Electronics, Shandong Normal University, Jinan, China; Department of Critical Care Medicine, Jinan Central Hospital, Cheeloo College of Medicine, Shandong University, Jinan, China; Department of Psychiatry, Columbia University, New York, NY, USA; Department of Neurology, Qilu Hospital of Shandong University, Jinan, China; Shandong Province Key Laboratory of Medical Physics and Image Processing Technology, School of Physics and Electronics, Shandong Normal University, Jinan, China","IEEE Access","19 Nov 2020","2020","8","","206063","206073","The accurate diagnosis and prediction for individuals is crucial in computer-aided diagnosis of Alzheimer's disease (AD). The existing structural magnetic resonance imaging based classification methods of AD diagnosis mainly focus on the voxel level, region level and patch level morphological pattern analysis. However, most of these methods extract features with high dimension which may lead to overfitting problem. Besides, the interaction of different patches is not considered in the classifier ensemble. In this article, we propose a novel anatomical landmarks and directed acyclic graph (DAG) network feature learning based classification algorithm for the diagnosis of AD individuals. First, the anatomical feature patches of gray matter image are identified by the morphological and statistical analysis. Second, a simple and efficient DAG convolutional neural network is proposed to extract the discriminative deep features of image representation. Especially, the deep features are obtained by fusing feature maps of different network levels which contain semantic high-level and high-resolution low-level features. Finally, support vector machine and deep features are utilized to construct the classification model and predict the individual of AD. Experiments on three public datasets including ADNI-1, ADNI-2 and MIRIAD demonstrate that the proposed method can effectively improve the classification performance compared with the state-of-the-art methods for AD diagnosis.","2169-3536","","10.1109/ACCESS.2020.3037107","National Natural Science Foundation of China; Natural Science Foundation of Shandong Province; China Postdoctoral Science Foundation; Key Research and Development Foundation of Shandong Province; Shandong Provincial Key Research and Development Plan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9253576","Alzheimer’s disease;structural magnetic resonance image;anatomical landmarks;directed acyclic graph network;classification","Feature extraction;Support vector machines;Diseases;Alzheimer's disease;Magnetic resonance imaging;Testing;Kernel","biomedical MRI;brain;convolutional neural nets;diseases;feature extraction;image classification;image fusion;image representation;learning (artificial intelligence);medical image processing;statistical analysis;support vector machines","Alzheimer's disease;computer-aided diagnosis;structural magnetic resonance imaging;AD diagnosis;voxel level;region level;overfitting problem;classifier ensemble;anatomical landmarks;gray matter image;morphological analysis;statistical analysis;discriminative deep features;image representation;feature maps;high-resolution low-level features;patch level morphological pattern analysis;directed acyclic graph network feature learning based classification algorithm;DAG convolutional neural network;semantic high-level features;support vector machine;ADNI-1;ADNI-2;MIRIAD","","","","61","CCBYNCND","10 Nov 2020","","","IEEE","IEEE Journals"
"Multimodal Data Fusion of Deep Learning and Dynamic Functional Connectivity Features to Predict Alzheimer’s Disease Progression *","A. Abrol; Z. Fu; Y. Du; V. D. Calhoun","Department of Psychology, College of Arts and Sciences, Georgia State University, Atlanta, GA, 30302, USA; Mind Research Network, Albuquerque, NM, 87106, USA; School of Computer and Information Technology, Shanxi University, Taiyuan, 030006, China; Department of Psychology, College of Arts and Sciences, Georgia State University, Atlanta, GA, 30302, USA","2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","7 Oct 2019","2019","","","4409","4413","Early prediction of diseased brain conditions is critical for curing illness and preventing irreversible neuronal dysfunction and loss. Generically regarding the different neuroimaging modalities as filtered, complementary insights of brain's anatomical and functional organization, multimodal data fusion could be hypothesized to enhance the predictive power as compared to a unimodal prediction of disease progression. More recently, deep learning (DL) based methods on structural MRI (sMRI) data have outperformed classical machine learning approaches in several neuroimaging applications including diagnostic classification and prediction. Similarly, functional MRI (fMRI) features estimated using a dynamic (i.e. time-varying) functional connectivity (FC) approach have been found to be more discriminative and predictive of the clinical diagnosis than those based on the static FC approach. Motivated by this, we introduce a novel multimodal data fusion framework featuring deep residual learning of non-linear sMRI features and dynamic FC (dFC) based extraction of fMRI features to predict the subset of individuals with mild cognitive impairments who would progress to Alzheimer's disease within a time-period of three years from the baseline scanning sessions. Our cross-validated results from the developed multimodal (sMRI-fMRI) data fusion framework demonstrate a significant improvement in performance over the unimodal prediction analyses with the fMRI (p = 7.03 x 10-7) and sMRI (p = 6.72 x 10-4) modalities. As such, the findings in this work highlight the benefits of combining multiple neuroimaging data modalities via data fusion, corroborate the predictive value of the tested DL and dFC features and argue in favor of exploration of similar approaches to learn neuroanatomical and functional alterations in the neuroimaging data.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8856500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8856500","","Functional magnetic resonance imaging;Diseases;Feature extraction;Correlation;Support vector machines;Data integration;Neuroimaging","biomedical MRI;brain;cognition;diseases;feature extraction;image classification;learning (artificial intelligence);medical disorders;medical image processing;neurophysiology;sensor fusion","dynamic functional connectivity features;Alzheimer's disease progression;diseased brain conditions;illness;neuroimaging modality;deep learning based methods;structural MRI data;neuroimaging applications;diagnostic classification;functional MRI features;deep residual learning;nonlinear sMRI features;dynamic FC based extraction;fMRI features;sMRI-fMRI;unimodal prediction analyses;multiple neuroimaging data modalities;neuroanatomical alterations;functional alterations;irreversible neuronal dysfunction;multimodal data fusion framework;clinical diagnosis;mild cognitive impairments","Alzheimer Disease;Brain;Cognitive Dysfunction;Deep Learning;Disease Progression;Forecasting;Humans;Magnetic Resonance Imaging;Neuroimaging","","","17","","7 Oct 2019","","","IEEE","IEEE Conferences"
"Deep Learning on Brain Cortical Thickness Data for Disease Classification","M. Menikdiwela; C. Nguyen; M. Shaw","Australian Centre of Excellence for Robotic Vision, Australian National University, Canberra ACT 2601, Australia; Research School of Engineering, College of Engineering and Computer Science, Australian National University, Canberra ACT 2601, Australia; Australian Centre of Excellence for Robotic Vision, Australian National University, Canberra ACT 2601, Australia; Quantitative Imaging, CSIRO Data61, Canberra ACT 2601, Australia; Research School of Engineering, College of Engineering and Computer Science, Australian National University, Canberra ACT 2601, Australia; Research School of Engineering, College of Engineering and Computer Science, Australian National University, Canberra ACT 2601, Australia","2018 Digital Image Computing: Techniques and Applications (DICTA)","17 Jan 2019","2018","","","1","5","Deep learning has been applied to learn and classify brain disease using volumetric MRI scans with an accuracy approaching or even exceeding that of a human expert. This is typically done by applying convolutional neural networks to slices of a 3D brain image volume. Each slice of the brain volume, however, represents only a small cross-sectional area of the cortical layer. On the other hand, convolutional neural networks are less well developed for 3D volumes. Therefore we sought to apply deep networks to the 2D cortical surface, for the purpose of classifying Alzheimer's disease (AD). AD is known to affect the thickness and geometry of the cortical surface of the brain. Although the cortical surface has a complex geometry, here we present a novel data processing method to feed the information of an entire cortical surface into existing deep networks for more accurate early disease detection. A brain 3D MRI volume is registered and its cortical surface is flattened to a 2D plane. The flattened distributions of the thickness, curvature and surface area are combined into an RBG image which can be readily fed to existing deep networks. In this paper, the ADNI dataset of brain MRI scans are used and flattened cortical images are applied to different deep networks including ResNet and Inception. Two pre-clinical stages of AD are considered; stable mild cognitive impairment (MCIs) and converting mild cognitive impairment (MCIc). Experiments show that using flattened cortical images consistently leads to higher accuracy compared to using brain slices with the same network architecture. Specifically, the highest accuracy of 81% is achieved by Inception with flattened cortical images, as compared to 68% by the same network on brain slices and 75.9% accuracy by the best method in the literature which also used a deep network on brain slices. Our results indicate that flattened cortical images can be used to learn and classify AD with high accuracy.","","978-1-5386-6602-9","10.1109/DICTA.2018.8615775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615775","MRI;MCI;Cortical thickness sheet;CNN;ResNet;Inception;Transfer Learning","Magnetic resonance imaging;Diseases;Surface treatment;Brain;Deep learning;Two dimensional displays;Three-dimensional displays","biomedical MRI;brain;cognition;diseases;feedforward neural nets;image classification;image segmentation;learning (artificial intelligence);medical image processing;neurophysiology","deep learning;brain cortical thickness data;disease classification;brain disease;volumetric MRI scans;convolutional neural networks;cortical layer;deep network;Alzheimer's disease;accurate early disease detection;brain 3D MRI volume;brain MRI scans;flattened cortical images;brain slices;network architecture;cortical surface;deep networks;3D brain image volume;RBG image;stable mild cognitive impairment;mild cognitive impairment","","1","","28","","17 Jan 2019","","","IEEE","IEEE Conferences"
"Exploiting Discriminative Regions of Brain Slices Based on 2D CNNs for Alzheimer’s Disease Classification","F. Ren; C. Yang; Q. Qiu; N. Zeng; C. Cai; C. Hou; Q. Zou","Fujian Key Laboratory of Sensing and Computing for Smart Cities, School of Information Science and Engineering, Xiamen University, Xiamen, China; Fujian Key Laboratory of Sensing and Computing for Smart Cities, School of Information Science and Engineering, Xiamen University, Xiamen, China; Fujian Key Laboratory of Sensing and Computing for Smart Cities, School of Information Science and Engineering, Xiamen University, Xiamen, China; Institute of Fundamental ands Frontier Sciences, University of Electronic Science and Technology of China, Chengdu, China; Fujian Key Laboratory of Sensing and Computing for Smart Cities, School of Information Science and Engineering, Xiamen University, Xiamen, China; Fujian Key Laboratory of Sensing and Computing for Smart Cities, School of Information Science and Engineering, Xiamen University, Xiamen, China; Institute of Fundamental and Frontier Sciences, University of Electronic Science and Technology of China, Chengdu, China","IEEE Access","23 Dec 2019","2019","7","","181423","181433","Convolutional neural networks (CNNs)-based classifiers improve the accuracy of diagnosis and prediction for Alzheimer's disease (AD). However, exploiting specific brain regions with the AD is essential to understand pathological alteration in the AD and monitor its progression. This paper aims to construct novel AD classification models which have a good performance and interpretation on AD diagnosis. We propose the three classifiers including a simple broaden plain CNNs (SBPCNNs), a major slice-assemble CNNs (SACNNs) and a multi-slice CNNs (MSCNNs), which record the slice positions but have fewer parameters. Specifically, we integrate the ranking and the random forest methods to find the discriminative region that is consistent with domain knowledge about the AD. The results of the visualization explanation of pixel and slice level deliver a clearer understanding of the AD to specialists. The experimental results indicate that the proposed models are meaningful for AD classification.","2169-3536","","10.1109/ACCESS.2019.2920241","National Basic Research Program of China (973 Program); National Natural Science Foundation of China; International Science and Technology Cooperation Project of Fujian Province of China; Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8727482","Alzheimer’s disease;CNNs-based classification;structural magnetic resonance imaging (sMRI);visual explanation","Convolution;Brain modeling;Solid modeling;Alzheimer's disease;Computational modeling","biomedical MRI;brain;convolutional neural nets;data visualisation;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neurophysiology","discriminative region;brain slices;2D CNN;Alzheimer's disease classification;convolutional neural networks-based classifiers;pathological alteration;AD diagnosis;simple broaden plain CNNs;slice-assemble CNNs;multislice CNNs;slice positions;slice level;AD classification models;SBPCNN;SACNN;MSCNN;visualization explanation;medical images;structural magnetic resonance imaging","","6","","49","OAPA","31 May 2019","","","IEEE","IEEE Journals"
"Convolutional Neural Net based Dementia and Tumour Classification from MRI Brain Images","A. V. Nadimpalli; A. Srivastava; R. Nersisson","Vellore Institute of Technology,School of Electrical Engineering,Vellore,INDIA; Vellore Institute of Technology,School of Electrical Engineering,Vellore,INDIA; Vellore Institute of Technology,School of Electrical Engineering,Vellore,INDIA","2020 IEEE 4th Conference on Information & Communication Technology (CICT)","8 Jan 2021","2020","","","1","6","The main purpose of this project is to make the medical scan examination process more efficient economically and also with respect to time. Moreover, Medicinal errors influence one of each 10 patients around the globe. Specialists took an investigation at concentrates that analysed the restorative demise rate data from 2010 to 2018 and extrapolated that in excess of 250,000 deaths for every year had begun from a helpful mix-up, which implies 9.5% of all deaths consistently alone in the US. This framework that we have proposed diminishes the odds of this human blunder caused in the field of prescription. The target of this venture or framework is to make a Web application which is an entry that can be accessed freely by anybody around the globe. Honestly by making the framework open source we are intending to go past the requirements that we have now and making it available to others to both build up the framework and utilise the framework free of expense. We have received a procedure by the help of open source structures. This framework that we have proposed diminishes the odds of this human blunder caused in the field of prescription. The model proposed in this paper have gone a bit more technically advanced and computerised this procedure of distinguishing irregularities inside the cerebrum with the assistance of Artificial Intelligence. The objective of this project or system is to make a web application which is a portal that can be accessed freely by anyone around the world. The technology which has been deployed for the system to become automated by making the system learn and predicting on its own is Convolutional Neural Network.","","978-0-7381-2447-6","10.1109/CICT51604.2020.9312091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9312091","Automation;CT;Machine Learning;Medical Imaging;MRI;Neural Networks","Servers;Alzheimer's disease;Convolution;Tumors;Medical services;Magnetic resonance imaging;Feature extraction","biomedical MRI;brain;convolutional neural nets;diseases;image classification;medical image processing;neurophysiology;tumours","open source structures;Web application;convolutional neural network;dementia;tumour classification;MRI brain images;medical scan examination process;restorative demise rate data;medicinal errors;artificial intelligence","","","","15","","8 Jan 2021","","","IEEE","IEEE Conferences"
"3D Residual Dense Convolutional Network for Diagnosis of Alzheimer’s Disease and Mild Cognitive Impairment","J. Niu; X. Tang","Beijing Institute of Technology, NO. 5,Zhongguancun South Street, Haidian District,School of Life Science,Beijing,China,10081; Beijing Institute of Technology, NO. 5,Zhongguancun South Street, Haidian District,School of Life Science,Beijing,China,10081","2020 IEEE International Conference on Mechatronics and Automation (ICMA)","26 Oct 2020","2020","","","1581","1586","Alzheimer's disease (AD) is a common and incurable dementia, so it is particularly important to correctly distinguish AD from normal people. In recent years, the development of deep learning has pointed out a new direction for the study of AD classification. This paper proposes a 3D residual densely connected convolutional network for AD and mild cognitive impairment (MCI) diagnosis. First, the Residual Dense Block (RDB) is used to expand the information flow to avoid the disappearance of gradients. Then we use the global feature fusion method to comprehensively consider the shallow and deep features to improve the accuracy of classification. This paper mainly uses the MRI data of the ADNI dataset for experiments to prove the superior performance of the proposed model.","2152-744X","978-1-7281-6416-8","10.1109/ICMA49215.2020.9233674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9233674","Alzheimer's disease;3D convolutional neurol network;Residual dense connection;Deep learning","","biomedical MRI;cognition;convolutional neural nets;diseases;feature extraction;image classification;image fusion;learning (artificial intelligence);medical image processing;neurophysiology","ADNI dataset;MRI data;AD classification;deep features;global feature fusion method;residual dense block;mild cognitive impairment diagnosis;3D residual densely connected convolutional network;deep learning;incurable dementia;Alzheimer disease","","","","32","","26 Oct 2020","","","IEEE","IEEE Conferences"
"Efficient feature embedding of 3D brain MRI images for content-based image retrieval with deep metric learning","Y. Onga; S. Fujiyama; H. Arai; Y. Chayama; H. Iyatomi; K. Oishi","Hosei University,Applied Informatics, Graduate School of Science and Engineering,Tokyo,Japan; Hosei University,Applied Informatics, Graduate School of Science and Engineering,Tokyo,Japan; Hosei University,Applied Informatics, Graduate School of Science and Engineering,Tokyo,Japan; Hosei University,Applied Informatics, Graduate School of Science and Engineering,Tokyo,Japan; Hosei University,Applied Informatics, Graduate School of Science and Engineering,Tokyo,Japan; Johns Hopkins University School of Medicine,MD,USA","2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","3764","3769","Increasing numbers of MRI brain scans, improvements in image resolution, and advancements in MRI acquisition technology are causing significant increases in the demand for and burden on radiologists' efforts in terms of reading and interpreting brain MRIs. Content-based image retrieval (CBIR) is an emerging technology for reducing this burden by supporting the reading of medical images. High dimensionality is a major challenge in developing a CBIR system that is applicable for 3D brain MRIs. In this study, we propose a system called disease-oriented data concentration with metric learning (DDCML). In DDCML, we introduce deep metric learning to a 3D convolutional autoencoder (CAE). Our proposed DDCML scheme achieves a high dimensional compression rate (4096:1) while preserving the disease-related anatomical features that are important for medical image classification. The low-dimensional representation obtained by DDCML improved the clustering performance by 29.1% compared to plain 3D-CAE in terms of discriminating Alzheimer's disease patients from healthy subjects, and successfully reproduced the relationships of the severity of disease categories that were not included in the training.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9006364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006364","Dimension Reduction;CAE;Metric Learning","Magnetic resonance imaging;Diseases;Measurement;Three-dimensional displays;Pathology;Medical diagnostic imaging","biomedical MRI;brain;content-based retrieval;diseases;image classification;image resolution;image retrieval;image segmentation;learning (artificial intelligence);medical image processing","DDCML scheme;disease-related anatomical features;medical image classification;3D-CAE;3D brain MRI images;content-based image retrieval;deep metric learning;MRI brain scans;image resolution;MRI acquisition technology;medical images;CBIR system;3D brain MRI;disease-oriented data concentration;3D convolutional autoencoder;high-dimensional compression rate","","","","16","","24 Feb 2020","","","IEEE","IEEE Conferences"
"An Explainable 3D Residual Self-Attention Deep Neural Network For Joint Atrophy Localization and Alzheimer's Disease Diagnosis using Structural MRI","X. Zhang; L. Han; W. Zhu; L. Sun; D. Zhang","School of Computing, Mathematics and Digital Technology, Manchester Metropolitan University, 5289 Manchester, United Kingdom of Great Britain and Northern Ireland, M15GD (e-mail: x.zhang@mmu.ac.uk); School of Computing, Mathematics and Digital Technology, Manchester Metropolitan University, Manchester, United Kingdom of Great Britain and Northern Ireland, M1 5GD (e-mail: l.han@mmu.ac.uk); Computer Science and Engineering, Nanjing University of Aeronautics and Astronautics, 47854 Nanjing, Jiangsu, China, (e-mail: wyzhu@nuaa.edu.cn); College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, 47854 Nanjing, China, 211106 (e-mail: sunl@nuaa.edu.cn); Computer Science, Nanjing University of Aeronautics and Astronautics, Nanjing, China, 210016 (e-mail: dqzhang@nuaa.edu.cn)","IEEE Journal of Biomedical and Health Informatics","","2021","PP","99","1","1","Computer-aided early diagnosis of Alzheimer's disease (AD) and its prodromal form mild cognitive impairment (MCI) based on structure Magnetic Resonance Imaging (sMRI) has provided a cost-effective and objective way for early prevention and treatment of disease progression, leading to improved patient care. In this work, we have proposed a novel computer-aided approach for early diagnosis of AD by introducing an explainable 3D Residual Attention Deep Neural Network (3D ResAttNet) for end-to-end learning from sMRI scans. Different from the existing approaches, the novelty of our approach is three-fold: 1) A Residual Self-Attention Deep Neural Network has been proposed to capture local, global and spatial information of MR images to improve diagnostic performance; 2) An explanation method using Gradient-based Localization Class Activation mapping (Grad-CAM) has been introduced to improve the explainable of the proposed method; 3) This work has provided a full end-to-end learning solution for automated disease diagnosis. Our proposed 3D ResAttNet method has been evaluated on a large cohort of subjects from real datasets for two changeling classification tasks (i.e., Alzheimer's disease (AD) vs. Normal cohort (NC) and progressive MCI (pMCI) vs. stable MCI (sMCI)). The experimental results show that the proposed approach has a competitive advantage over the state-of-the-art models in terms of accuracy performance and generalizability. The explainable mechanism in our approach is able to identify and highlight the contribution of the important brain parts (e.g., hippocampus, lateral ventricle and most parts of the cortex) for transparent decisions.","2168-2208","","10.1109/JBHI.2021.3066832","Academy of Medical Sciences Newton Advanced Fellowship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381587","Deep learning;3D CNN;MRI brain scans;Model Explanation/Explainable Artificial Intelligence","Feature extraction;Three-dimensional displays;Diseases;Brain modeling;Magnetic resonance imaging;Deep learning;Alzheimer's disease","","","","","","","IEEE","18 Mar 2021","","","IEEE","IEEE Early Access Articles"
"Hierarchical Feature Extraction for Early Alzheimer’s Disease Diagnosis","L. Yue; X. Gong; J. Li; H. Ji; M. Li; A. K. Nandi","Department of Computer Science and Technology, Tongji University, Shanghai, China; Department of Computer Science and Technology, Tongji University, Shanghai, China; Department of Computer Science and Technology, Tongji University, Shanghai, China; Department of Computer Science and Technology, Tongji University, Shanghai, China; Department of Electronic and Computer Engineering, Brunel University London, Uxbridge, U.K.; Department of Electronic and Computer Engineering, Brunel University London, Uxbridge, U.K.","IEEE Access","24 Jul 2019","2019","7","","93752","93760","Mild cognitive impairment (MCI) is the early stage of Alzheimer's disease (AD). In this paper, we propose a novel voxel-based hierarchical feature extraction (VHFE) method for the early AD diagnosis. First, we parcellate the whole brain into 90 regions of interests (ROIs) based on an automated anatomical labeling (AAL) template. To split the uninformative data, we select the informative voxels in each ROI with a baseline of their values and arrange them into a vector. Then, the first stage features are selected based on the correlation of the voxels between different groups. Next, the brain feature maps of each subject made up of the fetched voxels are fed into a convolutional neural network (CNN) to learn the deeply hidden features. Finally, to validate the effectiveness of the proposed method, we test it with the subset of the AD neuroimaging (ADNI) database. The testing results demonstrate that the proposed method is robust with a promising performance in comparison with the state-of-the-art methods.","2169-3536","","10.1109/ACCESS.2019.2926288","Science and Technology Commission of Shanghai Municipality; Shanghai Sailing Program; Special Fund for Basic Scientific Research Business Expenses of Central Colleges and Universities; Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8754722","Alzheimer’s disease;convolutional neural network;hierarchical feature extraction;mild cognitive impairment","Feature extraction;Correlation;Alzheimer's disease;Magnetic resonance imaging;Convolutional neural networks;Databases","biomedical MRI;brain;cognition;convolutional neural nets;diseases;feature extraction;feature selection;learning (artificial intelligence);medical image processing;neurophysiology","automated anatomical labeling template;informative voxels;ROI;stage features;brain feature maps;fetched voxels;deeply hidden features;mild cognitive impairment;early AD diagnosis;early Alzheimer's disease diagnosis;voxel-based hierarchical feature extraction method;uninformative data;convolutional neural network;AD neuroimaging database;regions of interests","","3","","32","CCBY","3 Jul 2019","","","IEEE","IEEE Journals"
