PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31353857","Acoustic enhancement of sleep slow oscillations in mild cognitive impairment","Papalambros NA, Weintraub S, Chen T, Grimaldi D, Santostasi G, Paller KA, Zee PC, Malkani RG.","Ann Clin Transl Neurol. 2019 Jul;6(7):1191-1201. doi: 10.1002/acn3.796. Epub 2019 Jul 1.","Papalambros NA","Ann Clin Transl Neurol","2019","2019/07/30","PMC6649400","","10.1002/acn3.796"
"31166647","Diagnosis of Alzheimer's disease with Sobolev gradient-based optimization and 3D convolutional neural network","Goceri E.","Int J Numer Method Biomed Eng. 2019 Jul;35(7):e3225. doi: 10.1002/cnm.3225. Epub 2019 Jun 19.","Goceri E","Int J Numer Method Biomed Eng","2019","2019/06/06","","","10.1002/cnm.3225"
"32421658","Automatic assessment of Alzheimer's disease diagnosis based on deep learning techniques","Puente-Castro A, Fernandez-Blanco E, Pazos A, Munteanu CR.","Comput Biol Med. 2020 May;120:103764. doi: 10.1016/j.compbiomed.2020.103764. Epub 2020 Apr 18.","Puente-Castro A","Comput Biol Med","2020","2020/05/19","","","10.1016/j.compbiomed.2020.103764"
"30440622","A Multi-modal Convolutional Neural Network Framework for the Prediction of Alzheimer's Disease","Spasov SE, Passamonti L, Duggento A, Lio P, Toschi N.","Annu Int Conf IEEE Eng Med Biol Soc. 2018 Jul;2018:1271-1274. doi: 10.1109/EMBC.2018.8512468.","Spasov SE","Annu Int Conf IEEE Eng Med Biol Soc","2018","2018/11/17","","","10.1109/EMBC.2018.8512468"
"30222548","Joint Classification and Regression via Deep Multi-Task Multi-Channel Learning for Alzheimer's Disease Diagnosis","Liu M, Zhang J, Adeli E, Shen D.","IEEE Trans Biomed Eng. 2019 May;66(5):1195-1206. doi: 10.1109/TBME.2018.2869989. Epub 2018 Sep 12.","Liu M","IEEE Trans Biomed Eng","2019","2018/09/18","PMC6764421","NIHMS1051318","10.1109/TBME.2018.2869989"
"32853816","Automated segmentation of the hypothalamus and associated subunits in brain MRI","Billot B, Bocchetta M, Todd E, Dalca AV, Rohrer JD, Iglesias JE.","Neuroimage. 2020 Dec;223:117287. doi: 10.1016/j.neuroimage.2020.117287. Epub 2020 Aug 25.","Billot B","Neuroimage","2020","2020/08/28","","","10.1016/j.neuroimage.2020.117287"
"31016571","Hierarchical Structured Sparse Learning for Schizophrenia Identification","Wang M, Hao X, Huang J, Wang K, Shen L, Xu X, Zhang D, Liu M.","Neuroinformatics. 2020 Jan;18(1):43-57. doi: 10.1007/s12021-019-09423-0.","Wang M","Neuroinformatics","2020","2019/04/25","","","10.1007/s12021-019-09423-0"
"32256560","Exercise-Induced Cognitive Improvement Is Associated with Sodium Channel-Mediated Excitability in APP/PS1 Mice","Tan YX, Liu GC, Chen HL, Lu MN, Chen B, Hu T, Zhang L, Mao R, Li S, Mei R, Wang XY, Xiyang YB.","Neural Plast. 2020 Mar 18;2020:9132720. doi: 10.1155/2020/9132720. eCollection 2020.","Tan YX","Neural Plast","2020","2020/04/08","PMC7103997","","10.1155/2020/9132720"
"32728983","Binary Classification of Alzheimer's Disease Using sMRI Imaging Modality and Deep Learning","Tufail AB, Ma YK, Zhang QN.","J Digit Imaging. 2020 Oct;33(5):1073-1090. doi: 10.1007/s10278-019-00265-5.","Tufail AB","J Digit Imaging","2020","2020/07/31","PMC7573078","","10.1007/s10278-019-00265-5"
"33108475","Attenuation correction using deep Learning and integrated UTE/multi-echo Dixon sequence: evaluation in amyloid and tau PET imaging","Gong K, Han PK, Johnson KA, El Fakhri G, Ma C, Li Q.","Eur J Nucl Med Mol Imaging. 2020 Oct 27. doi: 10.1007/s00259-020-05061-w. Online ahead of print.","Gong K","Eur J Nucl Med Mol Imaging","2020","2020/10/27","","","10.1007/s00259-020-05061-w"
"31329111","Deep Learning of Static and Dynamic Brain Functional Networks for Early MCI Detection","Kam TE, Zhang H, Jiao Z, Shen D.","IEEE Trans Med Imaging. 2020 Feb;39(2):478-487. doi: 10.1109/TMI.2019.2928790. Epub 2019 Jul 17.","Kam TE","IEEE Trans Med Imaging","2020","2019/07/23","PMC7122732","NIHMS1556134","10.1109/TMI.2019.2928790"
"32986673","Relationship Between PET-Assessed Amyloid Burden and Visual and Verbal Episodic Memory Performance in Elderly Subjects","Squarzoni P, Faria DP, Yassuda MS, Porto FHG, Coutinho AM, Costa NAD, Nitrini R, Forlenza OV, Duran FLS, Brucki SMD, Buchpiguel CA, Busatto GF.","J Alzheimers Dis. 2020;78(1):229-244. doi: 10.3233/JAD-200758.","Squarzoni P","J Alzheimers Dis","2020","2020/09/28","","","10.3233/JAD-200758"
"31811343","The clinical feasibility of deep learning-based classification of amyloid PET images in visually equivocal cases","Son HJ, Oh JS, Oh M, Kim SJ, Lee JH, Roh JH, Kim JS.","Eur J Nucl Med Mol Imaging. 2020 Feb;47(2):332-341. doi: 10.1007/s00259-019-04595-y. Epub 2019 Dec 6.","Son HJ","Eur J Nucl Med Mol Imaging","2020","2019/12/08","","","10.1007/s00259-019-04595-y"
"32785820","Association of tau accumulation and atrophy in mild cognitive impairment: a longitudinal study","Xu G, Zheng S, Zhu Z, Yu X, Jiang J, Jiang J, Chu Z; Alzheimer’s Disease Neuroimaging Initiative.","Ann Nucl Med. 2020 Nov;34(11):815-823. doi: 10.1007/s12149-020-01506-2. Epub 2020 Aug 12.","Xu G","Ann Nucl Med","2020","2020/08/14","","","10.1007/s12149-020-01506-2"
"30805951","Metabolic patterns across core features in dementia with lewy bodies","Morbelli S, Chincarini A, Brendel M, Rominger A, Bruffaerts R, Vandenberghe R, Kramberger MG, Trost M, Garibotto V, Nicastro N, Frisoni GB, Lemstra AW, van der Zande J, Pilotto A, Padovani A, Garcia-Ptacek S, Savitcheva I, Ochoa-Figueroa MA, Davidsson A, Camacho V, Peira E, Arnaldi D, Bauckneht M, Pardini M, Sambuceti G, Aarsland D, Nobili F.","Ann Neurol. 2019 May;85(5):715-725. doi: 10.1002/ana.25453. Epub 2019 Mar 22.","Morbelli S","Ann Neurol","2019","2019/02/27","","","10.1002/ana.25453"
"31217131","Studying the Manifold Structure of Alzheimer's Disease: A Deep Learning Approach Using Convolutional Autoencoders","Martinez-Murcia FJ, Ortiz A, Gorriz JM, Ramirez J, Castillo-Barnes D.","IEEE J Biomed Health Inform. 2020 Jan;24(1):17-26. doi: 10.1109/JBHI.2019.2914970. Epub 2019 Jun 17.","Martinez-Murcia FJ","IEEE J Biomed Health Inform","2020","2019/06/21","","","10.1109/JBHI.2019.2914970"
"31749127","Evaluation of PiB visual interpretation with CSF Aβ and longitudinal SUVR in J-ADNI study","Okada Y, Kato T, Iwata K, Kimura Y, Nakamura A, Hattori H, Toyama H, Ishii K, Ishii K, Senda M, Ito K, Iwatsubo T; Japanese Alzheimer’s Disease Neuroimaging Initiative.","Ann Nucl Med. 2020 Feb;34(2):108-118. doi: 10.1007/s12149-019-01420-2. Epub 2019 Nov 20.","Okada Y","Ann Nucl Med","2020","2019/11/22","PMC7026272","","10.1007/s12149-019-01420-2"
"31206931","Accurate, rapid and reliable, fully automated MRI brainstem segmentation for application in multiple sclerosis and neurodegenerative diseases","Sander L, Pezold S, Andermatt S, Amann M, Meier D, Wendebourg MJ, Sinnecker T, Radue EW, Naegelin Y, Granziera C, Kappos L, Wuerfel J, Cattin P, Schlaeger R; Alzheimer's Disease Neuroimaging Initiative.","Hum Brain Mapp. 2019 Oct 1;40(14):4091-4104. doi: 10.1002/hbm.24687. Epub 2019 Jun 17.","Sander L","Hum Brain Mapp","2019","2019/06/18","PMC6865769","","10.1002/hbm.24687"
"33154073","Development and Validation of a Deep Learning-Based Automatic Brain Segmentation and Classification Algorithm for Alzheimer Disease Using 3D T1-Weighted Volumetric Images","Suh CH, Shim WH, Kim SJ, Roh JH, Lee JH, Kim MJ, Park S, Jung W, Sung J, Jahng GH; Alzheimer’s Disease Neuroimaging Initiative.","AJNR Am J Neuroradiol. 2020 Dec;41(12):2227-2234. doi: 10.3174/ajnr.A6848. Epub 2020 Nov 5.","Suh CH","AJNR Am J Neuroradiol","2020","2020/11/06","PMC7963227","","10.3174/ajnr.A6848"
"31017386","First-in-Human Brain Imaging of [(18)F]TRACK, a PET tracer for Tropomyosin Receptor Kinases","Bailey JJ, Kaiser L, Lindner S, Wüst M, Thiel A, Soucy JP, Rosa-Neto P, Scott PJH, Unterrainer M, Kaplan DR, Wängler C, Wängler B, Bartenstein P, Bernard-Gauthier V, Schirrmacher R.","ACS Chem Neurosci. 2019 Jun 19;10(6):2697-2702. doi: 10.1021/acschemneuro.9b00144. Epub 2019 Apr 29.","Bailey JJ","ACS Chem Neurosci","2019","2019/04/25","","","10.1021/acschemneuro.9b00144"
"28930562","Alzheimer's disease diagnostics by a 3D deeply supervised adaptable convolutional network","Hosseini-Asl E, Ghazal M, Mahmoud A, Aslantas A, Shalaby AM, Casanova MF, Barnes GN, Gimel'farb G, Keynton R, El-Baz A.","Front Biosci (Landmark Ed). 2018 Jan 1;23:584-596. doi: 10.2741/4606.","Hosseini-Asl E","Front Biosci (Landmark Ed)","2018","2017/09/21","","","10.2741/4606"
"32210685","The risk prediction of Alzheimer's disease based on the deep learning model of brain 18F-FDG positron emission tomography","Yang Z, Liu Z.","Saudi J Biol Sci. 2020 Feb;27(2):659-665. doi: 10.1016/j.sjbs.2019.12.004. Epub 2019 Dec 12.","Yang Z","Saudi J Biol Sci","2020","2020/03/27","PMC6997895","","10.1016/j.sjbs.2019.12.004"
"31028606","Learning using privileged information improves neuroimaging-based CAD of Alzheimer's disease: a comparative study","Li Y, Meng F, Shi J; Alzheimer’s Disease Neuroimaging Initiative.","Med Biol Eng Comput. 2019 Jul;57(7):1605-1616. doi: 10.1007/s11517-019-01974-3. Epub 2019 Apr 27.","Li Y","Med Biol Eng Comput","2019","2019/04/28","","","10.1007/s11517-019-01974-3"
"30526350","Ultra-Low-Dose (18)F-Florbetaben Amyloid PET Imaging Using Deep Learning with Multi-Contrast MRI Inputs","Chen KT, Gong E, de Carvalho Macruz FB, Xu J, Boumis A, Khalighi M, Poston KL, Sha SJ, Greicius MD, Mormino E, Pauly JM, Srinivas S, Zaharchuk G.","Radiology. 2019 Mar;290(3):649-656. doi: 10.1148/radiol.2018180940. Epub 2018 Dec 11.","Chen KT","Radiology","2019","2018/12/12","PMC6394782","","10.1148/radiol.2018180940"
"30170711","Models of Network Spread and Network Degeneration in Brain Disorders","Raj A, Powell F.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2018 Sep;3(9):788-797. doi: 10.1016/j.bpsc.2018.07.012. Epub 2018 Aug 3.","Raj A","Biol Psychiatry Cogn Neurosci Neuroimaging","2018","2018/09/02","PMC6219468","NIHMS993192","10.1016/j.bpsc.2018.07.012"
"32976486","Sociodemographic data and APOE-ε4 augmentation for MRI-based detection of amnestic mild cognitive impairment using deep learning systems","Pelka O, Friedrich CM, Nensa F, Mönninghoff C, Bloch L, Jöckel KH, Schramm S, Sanchez Hoffmann S, Winkler A, Weimar C, Jokisch M; Alzheimer’s Disease Neuroimaging Initiative.","PLoS One. 2020 Sep 25;15(9):e0236868. doi: 10.1371/journal.pone.0236868. eCollection 2020.","Pelka O","PLoS One","2020","2020/09/25","PMC7518632","","10.1371/journal.pone.0236868"
"29454006","Predicting cognitive decline with deep learning of brain metabolism and amyloid imaging","Choi H, Jin KH; Alzheimer’s Disease Neuroimaging Initiative.","Behav Brain Res. 2018 May 15;344:103-109. doi: 10.1016/j.bbr.2018.02.017. Epub 2018 Feb 14.","Choi H","Behav Brain Res","2018","2018/02/18","","","10.1016/j.bbr.2018.02.017"
"33335244","Identification of Alzheimer's disease using a convolutional neural network model based on T1-weighted magnetic resonance imaging","Bae JB, Lee S, Jung W, Park S, Kim W, Oh H, Han JW, Kim GE, Kim JS, Kim JH, Kim KW.","Sci Rep. 2020 Dec 17;10(1):22252. doi: 10.1038/s41598-020-79243-9.","Bae JB","Sci Rep","2020","2020/12/18","PMC7746752","","10.1038/s41598-020-79243-9"
"30192928","Anticholinergic Amnesia is Mediated by Alterations in Human Network Connectivity Architecture","Chhatwal JP, Schultz AP, Hedden T, Boot BP, Wigman S, Rentz D, Johnson KA, Sperling RA.","Cereb Cortex. 2019 Jul 22;29(8):3445-3456. doi: 10.1093/cercor/bhy214.","Chhatwal JP","Cereb Cortex","2019","2018/09/08","PMC6644870","","10.1093/cercor/bhy214"
"32499247","Application of Deep Learning to Predict Standardized Uptake Value Ratio and Amyloid Status on (18)F-Florbetapir PET Using ADNI Data","Reith F, Koran ME, Davidzon G, Zaharchuk G; Alzheimer′s Disease Neuroimaging Initiative.","AJNR Am J Neuroradiol. 2020 Jun;41(6):980-986. doi: 10.3174/ajnr.A6573. Epub 2020 Jun 4.","Reith F","AJNR Am J Neuroradiol","2020","2020/06/06","PMC7342760","","10.3174/ajnr.A6573"
"33274526","Lewy Body Disease is a Contributor to Logopenic Progressive Aphasia Phenotype","Buciuc M, Whitwell JL, Kasanuki K, Graff-Radford J, Machulda MM, Duffy JR, Strand EA, Lowe VJ, Graff-Radford NR, Rush BK, Franczak MB, Flanagan ME, Baker MC, Rademakers R, Ross OA, Ghetti BF, Parisi JE, Raghunathan A, Reichard RR, Bigio EH, Dickson DW, Josephs KA.","Ann Neurol. 2021 Mar;89(3):520-533. doi: 10.1002/ana.25979. Epub 2020 Dec 17.","Buciuc M","Ann Neurol","2021","2020/12/04","PMC8040336","NIHMS1682531","10.1002/ana.25979"
"32661099","Relationship between β-amyloid and structural network topology in decedents without dementia","Jonkman LE, Steenwijk MD, Boesen N, Rozemuller AJM, Barkhof F, Geurts JJG, Douw L, van de Berg WDJ.","Neurology. 2020 Aug 4;95(5):e532-e544. doi: 10.1212/WNL.0000000000009910. Epub 2020 Jul 13.","Jonkman LE","Neurology","2020","2020/07/15","PMC7455348","","10.1212/WNL.0000000000009910"
"33336093","Improving Alzheimer's stage categorization with Convolutional Neural Network using transfer learning and different magnetic resonance imaging modalities","Aderghal K, Afdel K, Benois-Pineau J, Catheline G.","Heliyon. 2020 Dec 10;6(12):e05652. doi: 10.1016/j.heliyon.2020.e05652. eCollection 2020 Dec.","Aderghal K","Heliyon","2020","2020/12/18","PMC7733012","","10.1016/j.heliyon.2020.e05652"
"32578977","Classics in Neuroimaging: Development of Positron Emission Tomography Tracers for Imaging the GABAergic Pathway","Murrell E, Pham JM, Sowa AR, Brooks AF, Kilbourn MR, Scott PJH, Vasdev N.","ACS Chem Neurosci. 2020 Jul 15;11(14):2039-2044. doi: 10.1021/acschemneuro.0c00343. Epub 2020 Jun 24.","Murrell E","ACS Chem Neurosci","2020","2020/06/25","PMC7982716","NIHMS1666876","10.1021/acschemneuro.0c00343"
"30804774","Evaluation of Functional Decline in Alzheimer's Dementia Using 3D Deep Learning and Group ICA for rs-fMRI Measurements","Qureshi MNI, Ryu S, Song J, Lee KH, Lee B.","Front Aging Neurosci. 2019 Feb 11;11:8. doi: 10.3389/fnagi.2019.00008. eCollection 2019.","Qureshi MNI","Front Aging Neurosci","2019","2019/02/27","PMC6378312","","10.3389/fnagi.2019.00008"
"31552787","Predicting Alzheimer Disease From Mild Cognitive Impairment With a Deep Belief Network Based on 18F-FDG-PET Images","Shen T, Jiang J, Lu J, Wang M, Zuo C, Yu Z, Yan Z.","Mol Imaging. 2019 Jan-Dec;18:1536012119877285. doi: 10.1177/1536012119877285.","Shen T","Mol Imaging","2019","2019/09/26","PMC6764042","","10.1177/1536012119877285"
"30340094","Alzheimer's disease diagnosis based on multiple cluster dense convolutional networks","Li F, Liu M; Alzheimer's Disease Neuroimaging Initiative.","Comput Med Imaging Graph. 2018 Dec;70:101-110. doi: 10.1016/j.compmedimag.2018.09.009. Epub 2018 Oct 2.","Li F","Comput Med Imaging Graph","2018","2018/10/20","","","10.1016/j.compmedimag.2018.09.009"
"32055951","Assessment of knee pain from MR imaging using a convolutional Siamese network","Chang GH, Felson DT, Qiu S, Guermazi A, Capellini TD, Kolachalama VB.","Eur Radiol. 2020 Jun;30(6):3538-3548. doi: 10.1007/s00330-020-06658-3. Epub 2020 Feb 13.","Chang GH","Eur Radiol","2020","2020/02/15","PMC7786238","NIHMS1561607","10.1007/s00330-020-06658-3"
"30847382","Comparison of Pittsburgh compound B and florbetapir in cross-sectional and longitudinal studies","Su Y, Flores S, Wang G, Hornbeck RC, Speidel B, Joseph-Mathurin N, Vlassenko AG, Gordon BA, Koeppe RA, Klunk WE, Jack CR Jr, Farlow MR, Salloway S, Snider BJ, Berman SB, Roberson ED, Brosch J, Jimenez-Velazques I, van Dyck CH, Galasko D, Yuan SH, Jayadev S, Honig LS, Gauthier S, Hsiung GR, Masellis M, Brooks WS, Fulham M, Clarnette R, Masters CL, Wallon D, Hannequin D, Dubois B, Pariente J, Sanchez-Valle R, Mummery C, Ringman JM, Bottlaender M, Klein G, Milosavljevic-Ristic S, McDade E, Xiong C, Morris JC, Bateman RJ, Benzinger TLS.","Alzheimers Dement (Amst). 2019 Feb 22;11:180-190. doi: 10.1016/j.dadm.2018.12.008. eCollection 2019 Dec.","Su Y","Alzheimers Dement (Amst)","2019","2019/03/09","PMC6389727","","10.1016/j.dadm.2018.12.008"
"31093956","3D-Deep Learning Based Automatic Diagnosis of Alzheimer's Disease with Joint MMSE Prediction Using Resting-State fMRI","Duc NT, Ryu S, Qureshi MNI, Choi M, Lee KH, Lee B.","Neuroinformatics. 2020 Jan;18(1):71-86. doi: 10.1007/s12021-019-09419-w.","Duc NT","Neuroinformatics","2020","2019/05/17","","","10.1007/s12021-019-09419-w"
"33290403","Ensemble of ROI-based convolutional neural network classifiers for staging the Alzheimer disease spectrum from magnetic resonance imaging","Ahmed S, Kim BC, Lee KH, Jung HY; Alzheimer’s Disease Neuroimaging Initiative.","PLoS One. 2020 Dec 8;15(12):e0242712. doi: 10.1371/journal.pone.0242712. eCollection 2020.","Ahmed S","PLoS One","2020","2020/12/08","PMC7723284","","10.1371/journal.pone.0242712"
"32799383","Remote Blood Biomarkers of Longitudinal Cognitive Outcomes in a Population Study","Rajan KB, Aggarwal NT, McAninch EA, Weuve J, Barnes LL, Wilson RS, DeCarli C, Evans DA.","Ann Neurol. 2020 Dec;88(6):1065-1076. doi: 10.1002/ana.25874. Epub 2020 Sep 29.","Rajan KB","Ann Neurol","2020","2020/08/18","","","10.1002/ana.25874"
"32702486","Cortical surface registration using unsupervised learning","Cheng J, Dalca AV, Fischl B, Zöllei L; Alzheimer’s Disease Neuroimaging Initiative.","Neuroimage. 2020 Nov 1;221:117161. doi: 10.1016/j.neuroimage.2020.117161. Epub 2020 Jul 20.","Cheng J","Neuroimage","2020","2020/07/24","PMC7784120","NIHMS1657524","10.1016/j.neuroimage.2020.117161"
"32088883","Customized FreeSurfer-based brain atlas for diffeomorphic anatomical registration through exponentiated lie algebra tool","Baek MS, Cho H, Ryu YH, Lyoo CH.","Ann Nucl Med. 2020 Apr;34(4):280-288. doi: 10.1007/s12149-020-01445-y. Epub 2020 Feb 22.","Baek MS","Ann Nucl Med","2020","2020/02/24","","","10.1007/s12149-020-01445-y"
"31765915","Single-slice Alzheimer's disease classification and disease regional analysis with Supervised Switching Autoencoders","Mendoza-Léon R, Puentes J, Uriza LF, Hernández Hoyos M.","Comput Biol Med. 2020 Jan;116:103527. doi: 10.1016/j.compbiomed.2019.103527. Epub 2019 Oct 31.","Mendoza-Léon R","Comput Biol Med","2020","2019/11/26","","","10.1016/j.compbiomed.2019.103527"
"32277502","Different Cortical Gyrification Patterns in Alzheimer's Disease and Impact on Memory Performance","Núñez C, Callén A, Lombardini F, Compta Y, Stephan-Otto C; Alzheimer's Disease Neuroimaging Initiative.","Ann Neurol. 2020 Jul;88(1):67-80. doi: 10.1002/ana.25741. Epub 2020 May 4.","Núñez C","Ann Neurol","2020","2020/04/12","","","10.1002/ana.25741"
"33208302","De-Identification of Facial Features in Magnetic Resonance Images: Software Development Using Deep Learning Technology","Jeong YU, Yoo S, Kim YH, Shim WH.","J Med Internet Res. 2020 Dec 10;22(12):e22739. doi: 10.2196/22739.","Jeong YU","J Med Internet Res","2020","2020/11/19","PMC7759440","","10.2196/22739"
"33219525","Diagnostic Accuracy of Amyloid versus (18) F-Fluorodeoxyglucose Positron Emission Tomography in Autopsy-Confirmed Dementia","Lesman-Segev OH, La Joie R, Iaccarino L, Lobach I, Rosen HJ, Seo SW, Janabi M, Baker SL, Edwards L, Pham J, Olichney J, Boxer A, Huang E, Gorno-Tempini M, DeCarli C, Hepker M, Hwang JL, Miller BL, Spina S, Grinberg LT, Seeley WW, Jagust WJ, Rabinovici GD.","Ann Neurol. 2021 Feb;89(2):389-401. doi: 10.1002/ana.25968. Epub 2020 Dec 7.","Lesman-Segev OH","Ann Neurol","2021","2020/11/21","PMC7856004","NIHMS1655485","10.1002/ana.25968"
"31633863","Accurate and robust segmentation of neuroanatomy in T1-weighted MRI by combining spatial priors with deep convolutional neural networks","Novosad P, Fonov V, Collins DL; Alzheimer's Disease Neuroimaging Initiative†.","Hum Brain Mapp. 2020 Feb 1;41(2):309-327. doi: 10.1002/hbm.24803. Epub 2019 Oct 21.","Novosad P","Hum Brain Mapp","2020","2019/10/22","PMC7267949","","10.1002/hbm.24803"
"32875431","Classification of negative and positive (18)F-florbetapir brain PET studies in subjective cognitive decline patients using a convolutional neural network","de Vries BM, Golla SSV, Ebenau J, Verfaillie SCJ, Timmers T, Heeman F, Cysouw MCF, van Berckel BNM, van der Flier WM, Yaqub M, Boellaard R; Alzheimer’s Disease Neuroimaging Initiative.","Eur J Nucl Med Mol Imaging. 2021 Mar;48(3):721-728. doi: 10.1007/s00259-020-05006-3. Epub 2020 Sep 2.","de Vries BM","Eur J Nucl Med Mol Imaging","2021","2020/09/03","","","10.1007/s00259-020-05006-3"
"32633134","New-Onset Alzheimer's Disease and Normal Subjects 100% Separated Statistically by P300 and ICA","Jervis BW, Bigan C, Besleaga M.","Am J Alzheimers Dis Other Demen. 2020 Jan-Dec;35:1533317520935675. doi: 10.1177/1533317520935675.","Jervis BW","Am J Alzheimers Dis Other Demen","2020","2020/07/08","","","10.1177/1533317520935675"
"32650363","A Comprehensive Machine-Learning Model Applied to Magnetic Resonance Imaging (MRI) to Predict Alzheimer's Disease (AD) in Older Subjects","Battineni G, Chintalapudi N, Amenta F, Traini E.","J Clin Med. 2020 Jul 8;9(7):2146. doi: 10.3390/jcm9072146.","Battineni G","J Clin Med","2020","2020/07/12","PMC7408873","","10.3390/jcm9072146"
"32021737","MCADNNet: Recognizing Stages of Cognitive Impairment through Efficient Convolutional fMRI and MRI Neural Network Topology Models","Sarraf S, Desouza DD, Anderson J, Saverino C; Alzheimer’s Disease Neuroimaging Initiative.","IEEE Access. 2019;7:155584-155600. doi: 10.1109/ACCESS.2019.2949577. Epub 2019 Oct 25.","Sarraf S","IEEE Access","2019","2020/02/06","PMC6999050","NIHMS1541866","10.1109/ACCESS.2019.2949577"
"31785360","Pentylenetetrazole-induced Seizure Susceptibility in the Tau58/4 Transgenic Mouse Model of Tauopathy","Van Erum J, Valkenburg F, Van Dam D, De Deyn PP.","Neuroscience. 2020 Jan 15;425:112-122. doi: 10.1016/j.neuroscience.2019.11.007. Epub 2019 Nov 27.","Van Erum J","Neuroscience","2020","2019/12/01","","","10.1016/j.neuroscience.2019.11.007"
"31353865","Neuroinflammation in frontotemporal lobar degeneration revealed by (11) C-PBR28 PET","Kim MJ, McGwier M, Jenko KJ, Snow J, Morse C, Zoghbi SS, Pike VW, Innis RB, Kreisl WC.","Ann Clin Transl Neurol. 2019 Jul;6(7):1327-1331. doi: 10.1002/acn3.50802. Epub 2019 Jun 17.","Kim MJ","Ann Clin Transl Neurol","2019","2019/07/30","PMC6649481","","10.1002/acn3.50802"
"31754634","Grant Report on PREDICT-ADFTD: Multimodal Imaging Prediction of AD/FTD and Differential Diagnosis","Wang L, Heywood A, Stocks J, Bae J, Ma D, Popuri K, Toga AW, Kantarci K, Younes L, Mackenzie IR, Zhang F, Beg MF, Rosen H; Alzheimer’s Disease Neuroimaging Initiative.","J Psychiatr Brain Sci. 2019;4:e190017. doi: 10.20900/jpbs.20190017. Epub 2019 Oct 30.","Wang L","J Psychiatr Brain Sci","2019","2019/11/23","PMC6868780","NIHMS1057049","10.20900/jpbs.20190017"
"31177556","Presymptomatic spinal cord pathology in c9orf72 mutation carriers: A longitudinal neuroimaging study","Querin G, Bede P, El Mendili MM, Li M, Pélégrini-Issac M, Rinaldi D, Catala M, Saracino D, Salachas F, Camuzat A, Marchand-Pauvert V, Cohen-Adad J, Colliot O, Le Ber I, Pradat PF; Predict to Prevent Frontotemporal Lobar Degeneration and Amyotrophic Lateral Sclerosis Study Group.","Ann Neurol. 2019 Aug;86(2):158-167. doi: 10.1002/ana.25520. Epub 2019 Jun 27.","Querin G","Ann Neurol","2019","2019/06/10","","","10.1002/ana.25520"
"31319126","Using deep Siamese neural networks for detection of brain asymmetries associated with Alzheimer's Disease and Mild Cognitive Impairment","Liu CF, Padhy S, Ramachandran S, Wang VX, Efimov A, Bernal A, Shi L, Vaillant M, Ratnanather JT, Faria AV, Caffo B, Albert M, Miller MI; BIOCARD Research Team; Alzheimer's Disease Neuroimaging Initiative.","Magn Reson Imaging. 2019 Dec;64:190-199. doi: 10.1016/j.mri.2019.07.003. Epub 2019 Jul 15.","Liu CF","Magn Reson Imaging","2019","2019/07/19","PMC6874905","NIHMS1048461","10.1016/j.mri.2019.07.003"
"33293549","Cerebral small vessel disease genomics and its implications across the lifespan","Sargurupremraj M, Suzuki H, Jian X, Sarnowski C, Evans TE, Bis JC, Eiriksdottir G, Sakaue S, Terzikhan N, Habes M, Zhao W, Armstrong NJ, Hofer E, Yanek LR, Hagenaars SP, Kumar RB, van den Akker EB, McWhirter RE, Trompet S, Mishra A, Saba Y, Satizabal CL, Beaudet G, Petit L, Tsuchida A, Zago L, Schilling S, Sigurdsson S, Gottesman RF, Lewis CE, Aggarwal NT, Lopez OL, Smith JA, Valdés Hernández MC, van der Grond J, Wright MJ, Knol MJ, Dörr M, Thomson RJ, Bordes C, Le Grand Q, Duperron MG, Smith AV, Knopman DS, Schreiner PJ, Evans DA, Rotter JI, Beiser AS, Maniega SM, Beekman M, Trollor J, Stott DJ, Vernooij MW, Wittfeld K, Niessen WJ, Soumaré A, Boerwinkle E, Sidney S, Turner ST, Davies G, Thalamuthu A, Völker U, van Buchem MA, Bryan RN, Dupuis J, Bastin ME, Ames D, Teumer A, Amouyel P, Kwok JB, Bülow R, Deary IJ, Schofield PR, Brodaty H, Jiang J, Tabara Y, Setoh K, Miyamoto S, Yoshida K, Nagata M, Kamatani Y, Matsuda F, Psaty BM, Bennett DA, De Jager PL, Mosley TH, Sachdev PS, Schmidt R, Warren HR, Evangelou E, Trégouët DA; International Network against Thrombosis (INVENT) Consortium; International Headache Genomics Consortium (IHGC), Ikram MA, Wen W, DeCarli C, Srikanth VK, Jukema JW, Slagboom EP, Kardia SLR, et al.","Nat Commun. 2020 Dec 8;11(1):6285. doi: 10.1038/s41467-020-19111-2.","Sargurupremraj M","Nat Commun","2020","2020/12/09","PMC7722866","","10.1038/s41467-020-19111-2"
"31211176","Predicting long-term clinical stability in amyloid-positive subjects by FDG-PET","Iaccarino L, Sala A, Perani D; Alzheimer's Disease Neuroimaging Initiative.","Ann Clin Transl Neurol. 2019 May 24;6(6):1113-1120. doi: 10.1002/acn3.782. eCollection 2019 Jun.","Iaccarino L","Ann Clin Transl Neurol","2019","2019/06/19","PMC6562030","","10.1002/acn3.782"
