Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mishkhal, I., Al-Kareem, S.A., Saleh, H.H., Alqayyar, A.","57216339655;57216353466;57207855390;57216331389;","Deep Learning with network of Wearable sensors for preventing the Risk of Falls for Older People",2020,"IOP Conference Series: Materials Science and Engineering","928","3", 032050,"","",,,"10.1088/1757-899X/928/3/032050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097173624&doi=10.1088%2f1757-899X%2f928%2f3%2f032050&partnerID=40&md5=354e1ea4f329bf5f7a24dfb47df2dc8a",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85097173624
"Jain, A., Khanna, B., Dubey, R., Agarwal, S.","57217447519;57215278379;57221603041;57221601061;","A Comprehensive Study of Artificial Intelligence-based Medical Diagnosis",2020,"2020 IEEE International Conference for Innovation in Technology, INOCON 2020",,, 9298194,"","",,,"10.1109/INOCON50539.2020.9298194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099588090&doi=10.1109%2fINOCON50539.2020.9298194&partnerID=40&md5=2cf151dff4077be6e08ae23701f57c20",Conference Paper,"Final","",Scopus,2-s2.0-85099588090
"Liu, S., Jiang, W., Wu, L., Wen, H., Liu, M., Wang, Y.","57211074907;57211075119;57207452242;55238534300;55783125200;55998880600;","Real-Time Classification of Rubber Wood Boards Using an SSR-Based CNN",2020,"IEEE Transactions on Instrumentation and Measurement","69","11", 9151201,"8725","8734",,3,"10.1109/TIM.2020.3001370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093966145&doi=10.1109%2fTIM.2020.3001370&partnerID=40&md5=9142cfe6c72c1fc441105ff6a14170d6",Article,"Final","",Scopus,2-s2.0-85093966145
"Morid, M.A., Sheng, O.R.L., Kawamoto, K., Abdelrahman, S.","54917113100;6603549768;8370215600;36098869700;","Learning hidden patterns from patient multivariate time series data using convolutional neural networks: A case study of healthcare cost prediction",2020,"Journal of Biomedical Informatics","111",, 103565,"","",,2,"10.1016/j.jbi.2020.103565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092704142&doi=10.1016%2fj.jbi.2020.103565&partnerID=40&md5=554583edafcb4c78ded0929307e7342c",Article,"Final","",Scopus,2-s2.0-85092704142
"Lo Vercio, L., Amador, K., Bannister, J.J., Crites, S., Gutierrez, A., MacDonald, M.E., Moore, J., Mouches, P., Rajashekar, D., Schimert, S., Subbanna, N., Tuladhar, A., Wang, N., Wilms, M., Winder, A., Forkert, N.D.","57073821700;57221235166;57193560839;57194471783;57221225629;40561388100;57221234843;57208446477;57191491145;57217058106;22636092900;57188554479;57221226127;55211200500;57194474188;16549854100;","Supervised machine learning tools: A tutorial for clinicians",2020,"Journal of Neural Engineering","17","6", 062001,"","",,2,"10.1088/1741-2552/abbff2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096850723&doi=10.1088%2f1741-2552%2fabbff2&partnerID=40&md5=327401b81e68ecf650301785d394321e",Article,"Final","",Scopus,2-s2.0-85096850723
"Wang, S., Duan, F., Zhang, M.","57219596055;24537140100;57219598248;","Convolution-gru based on independent component analysis for fmri analysis with small and imbalanced samples",2020,"Applied Sciences (Switzerland)","10","21", 7465,"1","17",,,"10.3390/app10217465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094136214&doi=10.3390%2fapp10217465&partnerID=40&md5=d2eb8e72ebdedffa70263af693a7041e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85094136214
"Liu, Y., Lin, Y., Jia, Z., Ma, Y., Wang, J.","57195685764;7407358559;57214794498;56637305400;57218486525;","Representation based on ordinal patterns for seizure detection in EEG signals",2020,"Computers in Biology and Medicine","126",, 104033,"","",,,"10.1016/j.compbiomed.2020.104033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092907572&doi=10.1016%2fj.compbiomed.2020.104033&partnerID=40&md5=f2479337cf52e070efcbbe6db5b84371",Article,"Final","",Scopus,2-s2.0-85092907572
"Yang, D., Huang, R., Qing, K., Hong, K.-S.","57202601369;57197832302;57219131511;7402515710;","Exploring the possibility for early detection of Alzheimer's disease with spatial-domain neural images",2020,"International Conference on Control, Automation and Systems","2020-October",, 9268361,"1073","1078",,,"10.23919/ICCAS50221.2020.9268361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098077806&doi=10.23919%2fICCAS50221.2020.9268361&partnerID=40&md5=658553480f549d0144211ae5ce993027",Conference Paper,"Final","",Scopus,2-s2.0-85098077806
"Aydemir, O., Naser, A., Ozturk, M.","35114449600;57221817081;57203238225;","Classification of EEG Signals Recorded while Imagining Odors with Effective Band Pass Filter Parameters [Etkin Bant Geciren Filtre Parametreleri ile Kokularin Hayal Edildigi Sirada Kaydedilen EEG Isaretlerinin Siniflandirilmasi]",2020,"2020 28th Signal Processing and Communications Applications Conference, SIU 2020 - Proceedings",,, 9302244,"","",,,"10.1109/SIU49456.2020.9302244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100307594&doi=10.1109%2fSIU49456.2020.9302244&partnerID=40&md5=be826aee03acd66a76e307ffd725d781",Conference Paper,"Final","",Scopus,2-s2.0-85100307594
"Purwar, S., Tripathi, R., Barwad, A.W., Dinda, A.K.","57200505754;15065910800;37064211100;7005837526;","Detection of Mesangial hypercellularity of MEST-C score in immunoglobulin A-nephropathy using deep convolutional neural network",2020,"Multimedia Tools and Applications","79","37-38",,"27683","27703",,,"10.1007/s11042-020-09304-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088700483&doi=10.1007%2fs11042-020-09304-8&partnerID=40&md5=b20d210ee72bf5a7798486332d950807",Article,"Final","",Scopus,2-s2.0-85088700483
"Zhu, L., Su, C., Zhang, J., Cui, G., Cichocki, A., Zhou, C., Li, J.","57221197465;57215354695;36717145000;57220892872;57220510591;9736744700;36184673200;","EEG-based approach for recognizing human social emotion perception",2020,"Advanced Engineering Informatics","46",, 101191,"","",,,"10.1016/j.aei.2020.101191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094176001&doi=10.1016%2fj.aei.2020.101191&partnerID=40&md5=2af9ea9868beb42d3c7ae34f85a010a4",Article,"Final","",Scopus,2-s2.0-85094176001
"Książek, W., Hammad, M., Pławiak, P., Acharya, U.R., Tadeusiewicz, R.","57205123534;57194656523;55939473200;7004510847;7003526620;","Development of novel ensemble model using stacking learning and evolutionary computation techniques for automated hepatocellular carcinoma detection",2020,"Biocybernetics and Biomedical Engineering","40","4",,"1512","1524",,1,"10.1016/j.bbe.2020.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092371496&doi=10.1016%2fj.bbe.2020.08.007&partnerID=40&md5=d0151ee6cf3a952fb8f9eb8a77e01151",Article,"Final","",Scopus,2-s2.0-85092371496
"Tahir, A., Morison, G., Skelton, D.A., Gibson, R.M.","57210731279;55669053700;57205214092;56816286200;","A Novel Functional Link Network Stacking Ensemble with Fractal Features for Multichannel Fall Detection",2020,"Cognitive Computation","12","5",,"1024","1042",,,"10.1007/s12559-020-09749-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088823147&doi=10.1007%2fs12559-020-09749-x&partnerID=40&md5=049766f2cedd7c1d9ad46cdb366c3eef",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85088823147
"Wani, I.M., Arora, S.","57212414986;57189334829;","Computer-aided diagnosis systems for osteoporosis detection: a comprehensive survey",2020,"Medical and Biological Engineering and Computing","58","9",,"1873","1917",,4,"10.1007/s11517-020-02171-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086871577&doi=10.1007%2fs11517-020-02171-3&partnerID=40&md5=fb9a1901ba0dbe22dbe79d7a9d054a9b",Review,"Final","",Scopus,2-s2.0-85086871577
"Zhou, X., Ling, B.W.-K., Li, C., Zhao, K.","57207735250;57210406493;57211562205;57218293994;","Epileptic seizure detection via logarithmic normalized functional values of singular values",2020,"Biomedical Signal Processing and Control","62",, 102086,"","",,2,"10.1016/j.bspc.2020.102086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088646411&doi=10.1016%2fj.bspc.2020.102086&partnerID=40&md5=601f433f9656ec3e7d023061abb89495",Article,"Final","",Scopus,2-s2.0-85088646411
"Çinarer, G., Gürsel, B., Haşim, A.","57215302642;57219222935;57219227819;","Prediction of glioma grades using deep learning with wavelet radiomic features",2020,"Applied Sciences (Switzerland)","10","18", 6296,"","",,1,"10.3390/APP10186296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091735137&doi=10.3390%2fAPP10186296&partnerID=40&md5=00ac208adb90344b3a869285b00a52df",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85091735137
"Semyachkina-Glushkovskaya, O., Postnov, D., Penzel, T., Kurths, J.","25652147300;6701529442;57207902667;35317963900;","Sleep as a novel biomarker and a promising therapeutic target for cerebral small vessel disease: A review focusing on alzheimer’s disease and the blood-brain barrier",2020,"International Journal of Molecular Sciences","21","17", 6293,"1","15",,1,"10.3390/ijms21176293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090226311&doi=10.3390%2fijms21176293&partnerID=40&md5=d788d42874450371d1200f6af03a8c40",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85090226311
"Balhaddad, A.A., Garcia, I.M., Ibrahim, M.S., Rolim, J.P.M.L., Gomes, E.A.B., Martinho, F.C., Collares, F.M., Xu, H., Melo, M.A.S.","55950945400;57190811576;57203633627;57220358466;57218517630;23480587100;15843246600;57201213710;55212811400;","Prospects on nano-based platforms for antimicrobial photodynamic therapy against oral biofilms",2020,"Photobiomodulation, Photomedicine, and Laser Surgery","38","8",,"481","496",,3,"10.1089/photob.2020.4815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089406864&doi=10.1089%2fphotob.2020.4815&partnerID=40&md5=ce5b8376b922a355dc3d4ae7f5a9bb60",Review,"Final","",Scopus,2-s2.0-85089406864
"Hussain, E., Mahanta, L.B., Das, C.R., Choudhury, M., Chowdhury, M.","57215190483;36676387700;56669323900;57217077697;7202631544;","A shape context fully convolutional neural network for segmentation and classification of cervical nuclei in Pap smear images",2020,"Artificial Intelligence in Medicine","107",, 101897,"","",,3,"10.1016/j.artmed.2020.101897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086079448&doi=10.1016%2fj.artmed.2020.101897&partnerID=40&md5=18529e4fd2e3b4a375779ec466993f1e",Article,"Final","",Scopus,2-s2.0-85086079448
"Silva, F.H.S., Medeiros, A.G., Ohata, E.F., Reboucas Filho, P.P.","57211920385;57202465482;57211924045;55623130500;","Classification of electroencephalogram signals for detecting predisposition to alcoholism using computer vision and transfer learning",2020,"Proceedings - IEEE Symposium on Computer-Based Medical Systems","2020-July",, 9182916,"126","131",,,"10.1109/CBMS49503.2020.00031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091167854&doi=10.1109%2fCBMS49503.2020.00031&partnerID=40&md5=f659d85114ed2d27d838cc6808f89a76",Conference Paper,"Final","",Scopus,2-s2.0-85091167854
"Koh, J.E.W., Jahmunah, V., Pham, T.-H., Oh, S.L., Ciaccio, E.J., Acharya, U.R., Yeong, C.H., Fabell, M.K.M., Rahmat, K., Vijayananthan, A., Ramli, N.","55905807100;57208643008;57213330034;57185991600;7004846604;7004510847;35777244000;57204159459;19640560100;6506887961;57208450479;","Automated detection of Alzheimer's disease using bi-directional empirical model decomposition",2020,"Pattern Recognition Letters","135",,,"106","113",,6,"10.1016/j.patrec.2020.03.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084110530&doi=10.1016%2fj.patrec.2020.03.014&partnerID=40&md5=963508502f179ff8e399253117b134ea",Article,"Final","",Scopus,2-s2.0-85084110530
"Cai, H., Qu, Z., Li, Z., Zhang, Y., Hu, X., Hu, B.","56515926100;57214853536;57214853847;57218471953;57205479026;56393556600;","Feature-level fusion approaches based on multimodal EEG data for depression recognition",2020,"Information Fusion","59",,,"127","138",,18,"10.1016/j.inffus.2020.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079327800&doi=10.1016%2fj.inffus.2020.01.008&partnerID=40&md5=634bd81780c7c5931cc0b472c183e75a",Article,"Final","",Scopus,2-s2.0-85079327800
"Mesejo, P., Martos, R., Ibáñez, O., Novo, J., Ortega, M.","37108185800;57201641545;14833915000;24475358600;24475406900;","A Survey on artificial intelligence techniques for biomedical image analysis in skeleton-based forensic human identification",2020,"Applied Sciences (Switzerland)","10","14", 4703,"","",,,"10.3390/app10144703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088645652&doi=10.3390%2fapp10144703&partnerID=40&md5=584526d8e04e87cab9210cd92ccd6368",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85088645652
"Annunziata, F., Pinna, C., Dallavalle, S., Tamborini, L., Pinto, A.","57211685459;57217357449;6601955353;23983654000;8931693400;","An overview of coumarin as a versatile and readily accessible scaffold with broad-ranging biological activities",2020,"International Journal of Molecular Sciences","21","13", 4618,"1","83",,10,"10.3390/ijms21134618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087126932&doi=10.3390%2fijms21134618&partnerID=40&md5=192924c838e6c9894e7225b5db6d6d71",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85087126932
"Onofrey, J.A., Staib, L.H., Huang, X., Zhang, F., Papademetris, X., Metaxas, D., Rueckert, D., Duncan, J.S.","55823011300;57205906578;57218133046;57199243418;6602197282;7006359060;57219777292;57203363835;","Sparse Data-Driven Learning for Effective and Efficient Biomedical Image Segmentation",2020,"Annual Review of Biomedical Engineering","22",,,"127","153",,,"10.1146/annurev-bioeng-060418-052147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086052462&doi=10.1146%2fannurev-bioeng-060418-052147&partnerID=40&md5=3b2a39eb9a6e2673471e12f4a78eb877",Review,"Final","",Scopus,2-s2.0-85086052462
"Yamanakkanavar, N., Choi, J.Y., Lee, B.","57217089774;57210148644;13006258900;","MRI segmentation and classification of human brain using deep learning for diagnosis of alzheimer’s disease: A survey",2020,"Sensors (Switzerland)","20","11", 3243,"1","31",,5,"10.3390/s20113243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086142676&doi=10.3390%2fs20113243&partnerID=40&md5=8d804a5d87720ac8fca793a890fa2d30",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85086142676
"Abiyev, R., Arslan, M., Idoko, J.B., Sekeroglu, B., Ilhan, A.","14631704300;57195407285;57200209705;13105707500;57192176613;","Identification of epileptic eeg signals using convolutional neural networks",2020,"Applied Sciences (Switzerland)","10","12", 4089,"","",,4,"10.3390/APP10124089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087514083&doi=10.3390%2fAPP10124089&partnerID=40&md5=69826bc9a69dd16626f2d975142f4ffd",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85087514083
"Zhang, X.-Y., Liu, C.-L., Suen, C.Y.","50562360800;36064176500;7102317250;","Towards Robust Pattern Recognition: A Review",2020,"Proceedings of the IEEE","108","6", 9103349,"894","922",,3,"10.1109/JPROC.2020.2989782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086049705&doi=10.1109%2fJPROC.2020.2989782&partnerID=40&md5=93271bd3d02a8a9511cfd82a452b99fa",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85086049705
"Chen, M.T., Mahmood, F., Sweer, J.A., Durr, N.J.","57209347212;56647751100;57188589124;16303771500;","GANPOP: Generative Adversarial Network Prediction of Optical Properties from Single Snapshot Wide-Field Images",2020,"IEEE Transactions on Medical Imaging","39","6", 8943974,"1988","1999",,4,"10.1109/TMI.2019.2962786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077308211&doi=10.1109%2fTMI.2019.2962786&partnerID=40&md5=388fb09bba7af27cc98ebfa36d81102e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85077308211
"Hakimi, N., Jodeiri, A., Mirbagheri, M., Setarehdan, S.K.","57204593354;57212550433;57209408130;35570521600;","Proposing a convolutional neural network for stress assessment by means of derived heart rate from functional near infrared spectroscopy",2020,"Computers in Biology and Medicine","121",, 103810,"","",,2,"10.1016/j.compbiomed.2020.103810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084553687&doi=10.1016%2fj.compbiomed.2020.103810&partnerID=40&md5=0c67d0471fe687cadba9bb3d1655d0b9",Article,"Final","",Scopus,2-s2.0-85084553687
"Tan, M., Zhang, S., Wu, L.","57204529474;56151244800;56576641000;","Mutual kNN based spectral clustering",2020,"Neural Computing and Applications","32","11",,"6435","6442",,1,"10.1007/s00521-018-3836-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055995276&doi=10.1007%2fs00521-018-3836-z&partnerID=40&md5=2db2a7670d470d34f7f0f4eade4a5725",Article,"Final","",Scopus,2-s2.0-85055995276
"Güven, A., Altınkaynak, M., Dolu, N., İzzetoğlu, M., Pektaş, F., Özmen, S., Demirci, E., Batbat, T.","9739302000;57188928262;6602544074;6603397651;57188930384;56232715900;56711725000;57188928865;","Combining functional near-infrared spectroscopy and EEG measurements for the diagnosis of attention-deficit hyperactivity disorder",2020,"Neural Computing and Applications","32","12",,"8367","8380",,3,"10.1007/s00521-019-04294-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068834729&doi=10.1007%2fs00521-019-04294-7&partnerID=40&md5=f08dbb38fe36cd137e1a6fee36eef9e3",Article,"Final","",Scopus,2-s2.0-85068834729
"Guo, Y., Wu, Z., Shen, D.","24764663200;57191707137;7401738392;","Learning longitudinal classification-regression model for infant hippocampus segmentation",2020,"Neurocomputing","391",,,"191","198",,11,"10.1016/j.neucom.2019.01.108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064680496&doi=10.1016%2fj.neucom.2019.01.108&partnerID=40&md5=a80fa16f6d8d13eb54d3179d4d9b5cef",Article,"Final","",Scopus,2-s2.0-85064680496
"Abdulrahman, S.A., Khalifa, W., Roushdy, M., Salem, A.-B.M.","57217096778;55492928800;36903823300;36762342200;","Comparative study for 8 computational intelligence algorithms for human identification",2020,"Computer Science Review","36",, 100237,"","",,4,"10.1016/j.cosrev.2020.100237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086180417&doi=10.1016%2fj.cosrev.2020.100237&partnerID=40&md5=d594bf19678f9941b56c5816158a2118",Review,"Final","",Scopus,2-s2.0-85086180417
"Rajinikanth, V., Raj, A.N.J., Thanaraj, K.P., Naik, G.R.","37063796700;23985435300;56151755600;14825548600;","A customized VGG19 network with concatenation of deep and handcrafted features for brain tumor detection",2020,"Applied Sciences (Switzerland)","10","10", 3429,"","",,4,"10.3390/app10103429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085699438&doi=10.3390%2fapp10103429&partnerID=40&md5=f74fb0d4825bba64ef9c9647e14b925f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85085699438
"Parker, A., Poole, J., Dagnall, N.","35238142300;57212507709;14631568800;","Saccade-induced retrieval enhancement and the recovery of perceptual item-specific information",2020,"Cognitive Processing","21","2",,"223","237",,,"10.1007/s10339-019-00943-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076928834&doi=10.1007%2fs10339-019-00943-w&partnerID=40&md5=d42095cd8f9c59428dad0641b25fcebb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85076928834
"Goceri, E.","36166929500;","CapsNet topology to classify tumours from brain images and comparative evaluation",2020,"IET Image Processing","14","5",,"882","889",,6,"10.1049/iet-ipr.2019.0312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083236001&doi=10.1049%2fiet-ipr.2019.0312&partnerID=40&md5=d49afa2b17d9e4fd22b6dc8cbf178f5d",Article,"Final","",Scopus,2-s2.0-85083236001
"Gudigar, A., Raghavendra, U., Hegde, A., Kalyani, M., Ciaccio, E.J., Rajendra Acharya, U.","53866252600;37079412500;57089988200;57211981488;7004846604;7004510847;","Brain pathology identification using computer aided diagnostic tool: A systematic review",2020,"Computer Methods and Programs in Biomedicine","187",, 105205,"","",,3,"10.1016/j.cmpb.2019.105205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075552852&doi=10.1016%2fj.cmpb.2019.105205&partnerID=40&md5=63140623646a988acea678fb9f346f11",Review,"Final","",Scopus,2-s2.0-85075552852
"Liu, G.-D., Li, Y.-C., Zhang, W., Zhang, L.","57203038937;57192160972;57212227220;23391545700;","A Brief Review of Artificial Intelligence Applications and Algorithms for Psychiatric Disorders",2020,"Engineering","6","4",,"462","467",,6,"10.1016/j.eng.2019.06.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072049509&doi=10.1016%2fj.eng.2019.06.008&partnerID=40&md5=02b5400f4363dedfa5e321d557a69de8",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85072049509
"Yao, D., Zhan, X., Zhan, X., Kwoh, C.K., Li, P., Wang, J.","52165062100;52164917500;15021576200;35476211400;57216039202;56897294900;","A random forest based computational model for predicting novel lncRNA-disease associations",2020,"BMC Bioinformatics","21","1", 126,"","",,5,"10.1186/s12859-020-3458-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082524304&doi=10.1186%2fs12859-020-3458-1&partnerID=40&md5=aad56fc55d088b98efba112e79414b59",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85082524304
"Singh, B., Sharma, R.V.","57207053292;57221798876;","Secondary metabolites of medicinal plants: Ethnopharmacological properties, biological activity and production strategies",2020,"Secondary Metabolites of Medicinal Plants: Ethnopharmacological Properties, Biological Activity and Production Strategies",,,,"1","1508",,2,"10.1002/9783527825578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099561599&doi=10.1002%2f9783527825578&partnerID=40&md5=66da694717aa016fe32b6fcbf64042cd",Book,"Final","All Open Access, Bronze",Scopus,2-s2.0-85099561599
"Molaei, S., Shiri Ahmad Abadi, M.E.","57126112700;57212549917;","Maintaining filter structure: A Gabor-based convolutional neural network for image analysis",2020,"Applied Soft Computing","88",, 105960,"","",,3,"10.1016/j.asoc.2019.105960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077086465&doi=10.1016%2fj.asoc.2019.105960&partnerID=40&md5=48c0c667f629cb7a53db9f63366f6430",Article,"Final","",Scopus,2-s2.0-85077086465
"Frank, M., Drikakis, D., Charissis, V.","56661679200;56273846200;22733653900;","Machine-learning methods for computational science and engineering",2020,"Computation","8","1", 15,"","",,6,"10.3390/computation8010015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081747508&doi=10.3390%2fcomputation8010015&partnerID=40&md5=e1d3b7133e7356f63b774bc84ba7a0cc",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85081747508
"Brunese, L., Mercaldo, F., Reginelli, A., Santone, A.","7003807892;55842609700;21741233000;6603700255;","An ensemble learning approach for brain cancer detection exploiting radiomic features",2020,"Computer Methods and Programs in Biomedicine","185",, 105134,"","",,24,"10.1016/j.cmpb.2019.105134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074154276&doi=10.1016%2fj.cmpb.2019.105134&partnerID=40&md5=b49995e5dfb88c8f9c39aff032446979",Article,"Final","",Scopus,2-s2.0-85074154276
"Moghadasi, M., Fazekas, G.","57216279348;57213745581;","Multiple sclerosis lesion detection via machine learning algorithm based on converting 3D to 2D MRI images",2020,"Infocommunications Journal","12","1",,"38","44",,,"10.36244/ICJ.2020.1.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086004244&doi=10.36244%2fICJ.2020.1.6&partnerID=40&md5=95bbe847d0ccb8ad02e7522bf9efebcd",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85086004244
"Lazli, L., Boukadoum, M., Mohamed, O.A.","6506066539;12545669100;35568675700;","A survey on computer-aided diagnosis of brain disorders through MRI based on machine learning and data mining methodologies with an emphasis on Alzheimer disease diagnosis and the contribution of the multimodal fusion",2020,"Applied Sciences (Switzerland)","10","5", 1894,"","",,3,"10.3390/app10051894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082082517&doi=10.3390%2fapp10051894&partnerID=40&md5=4e4bb51b8a96d1ba4ad846559dc4b99f",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85082082517
"Xiao, L., Stephen, J.M., Wilson, T.W., Calhoun, V.D., Wang, Y.-P.","55951456600;7101892541;34573961300;7003595227;56084228100;","A Manifold Regularized Multi-Task Learning Model for IQ Prediction from Two fMRI Paradigms",2020,"IEEE Transactions on Biomedical Engineering","67","3", 8731721,"796","806",,5,"10.1109/TBME.2019.2921207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074683316&doi=10.1109%2fTBME.2019.2921207&partnerID=40&md5=1364cd895af12a242a1b16ff254c359c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85074683316
"Zhang, J., Tan, L., Tao, X., Pham, T., Chen, B.","22036848900;57202641002;22837029600;57208593017;55723019600;","Relational intelligence recognition in online social networks-A survey",2020,"Computer Science Review","35",, 100221,"","",,,"10.1016/j.cosrev.2019.100221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083112402&doi=10.1016%2fj.cosrev.2019.100221&partnerID=40&md5=bbc9e5286d5c03ae08df02114e35686f",Review,"Final","",Scopus,2-s2.0-85083112402
"Naeser, M.A., Ho, M.D., Martin, P.I., Hamblin, M.R., Koo, B.-B.","7003804190;34976587400;8947738900;7004296356;8863295600;","Increased Functional Connectivity Within Intrinsic Neural Networks in Chronic Stroke Following Treatment with Red/Near-Infrared Transcranial Photobiomodulation: Case Series with Improved Naming in Aphasia",2020,"Photobiomodulation, Photomedicine, and Laser Surgery","38","2",,"115","131",,7,"10.1089/photob.2019.4630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079471050&doi=10.1089%2fphotob.2019.4630&partnerID=40&md5=3d0487cd5700b533f47673f924944203",Conference Paper,"Final","",Scopus,2-s2.0-85079471050
"Xiao, L., Wei, F., Zhou, Y., Anderson, G.J., Frazer, D.M., Lim, Y.C., Liu, T., Xiao, Y.","57200697472;56816250700;37082507300;7404222977;7007108349;26645087000;57207192669;35222605100;","Dihydrolipoic acid-gold nanoclusters regulate microglial polarization and have the potential to alter neurogenesis",2020,"Nano Letters","20","1",,"478","495",,9,"10.1021/acs.nanolett.9b04216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077761276&doi=10.1021%2facs.nanolett.9b04216&partnerID=40&md5=53d3e9552568dba8688c69525ac92c38",Article,"Final","",Scopus,2-s2.0-85077761276
"Alizadeh, S.M., Mahloojifar, A.","57208720920;55903009600;","Automatic skin cancer detection in dermoscopy images by combining convolutional neural networks and texture features",2020,"International Journal of Imaging Systems and Technology",,,,"","",,,"10.1002/ima.22490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090928795&doi=10.1002%2fima.22490&partnerID=40&md5=0c07c902fde798a6b3ce64a5dcfb2125",Article,"Article in Press","",Scopus,2-s2.0-85090928795
"Yu, X., Lu, S., Guo, L., Wang, S.-H., Zhang, Y.-D.","57210165932;57189066899;57214158423;36544650700;35786830100;","ResGNet-C: A graph convolutional neural network for detection of COVID-19",2020,"Neurocomputing",,,,"","",,,"10.1016/j.neucom.2020.07.144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099550067&doi=10.1016%2fj.neucom.2020.07.144&partnerID=40&md5=34df804e1ea41507e60cc86e78a49f44",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85099550067
