author;year;title;conference;city;doi
L. Paletta, M. Pszeida, A. Dini, S. Russegger, S. Schuessler, A. Jos, E. Schuster, J. Steiner and M. Fellner;2020;MIRA – A Gaze-based Serious Game for Continuous Estimation of Alzheimer's Mental State;ACM Symposium on Eye Tracking Research and Applications;Stuttgart, Germany;10.1145/3379157.3391989
Y. Panagakis, O. Rudovic and M. Pantic;2018;Learning for multimodal and affect-sensitive interfaces;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107995
Z. Qiushi, L. Jin and C. Dandan;2018;A Novel Method Based on Linear Regression Model for Identify the Sensitivity of Quantitative Trait in ADNI Cohort;Proceedings of the 2nd International Conference on Vision, Image and Signal Processing;Las Vegas, NV, USA;10.1145/3271553.3271558
A. Saribudak, A. A. Subick, N. H. Kim, J. A. Rutta and M. Ü. Uyar;2020;"Gene Expressions, Hippocampal Volume Loss, and MMSE Scores in Computation of Progression and Pharmacologic Therapy Effects for Alzheimer&amp;#x0027;s Disease";IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2018.2870363
D. Schnelle-Walka and S. Radomski;2019;Automotive multimodal human-machine interface;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233809
B. Schuller;2018;Multimodal user state and trait recognition: an overview;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107997
F. Shahid, W. Rahman, A. B. Islam, N. Paul, N. Khan, M. S. Rahman, M. M. Haque and A. B. M. A. A. Islam;2019;Two Tell-tale Perspectives of PTSD: Neurobiological Abnormalities and Bayesian Regulatory Network of the Underlying Disorder in a Refugee Context;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;;10.1145/3351259
K. Sharma, E. Niforatos, M. Giannakos and V. Kostakos;2020;Assessing Cognitive Performance Using Physiological and Facial Features: Generalizing across Contexts;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;;10.1145/3411811
L. Shi, H. Tong, M. Daianu, F. Tian and P. M. Thompson;2018;Visual Analysis of Brain Networks Using Sparse Regression Models;ACM Trans. Knowl. Discov. Data;;10.1145/3023363
G. Skantze, J. Gustafson and J. Beskow;2019;Multimodal conversational interaction with robots;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233799
D. Sonntag;2019;Medical and health systems;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233808
M. Thilakaratne, K. Falkner and T. Atapattu;2019;"A Systematic Review on Literature-based Discovery: General Overview, Methodology, &amp; Statistical Analysis";ACM Comput. Surv.;;10.1145/3365756
R. Tumuluri, D. Dahl, F. Paternò and M. Zancanaro;2019;Standardized representations and markup languages for multimodal interaction;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233806
M. Valstar;2019;Multimodal databases;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233807
J. Wagner and E. André;2018;Real-time sensing of affect and social signals in a multimodal framework: a practical approach;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108000
A. Waibel;2019;Multimodal dialogue processing for machine translation;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233811
Y. Yu, Q. Wang, H. Hu, S. Su and Z. Wang;2018;Multi-Atlas Based Early Prediction of Post-Traumatic Stress Disorder;Proceedings of the 2nd International Symposium on Image Computing and Digital Medicine;Chengdu, China;10.1145/3285996.3286012
P. Zanwar, P. C. Heyn, G. McGrew and M. Raji;2018;Assistive technology megatrends to support persons with alzheimer's disease and related dementias age in habitat: challenges for usability, engineering and public policy;Proceedings of the Workshop on Human-Habitat for Health (H3): Human-Habitat Multimodal Interaction for Promoting Health and Well-Being in the Internet of Things Era;Boulder, Colorado;
;2018;related dementia, medical technologies, policy, engineering, usability, ACM proceedings, people with disabilities, assistive technologies;;;10.1145/3279963.3279971
;2018;Introduction: trends in intelligent multimodal-multisensorial interfaces: cognition, emotion, social signals, deep learning, and more;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107992
;2018;Preface;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107991
;2018;Index/bios/glossary;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108007
;2020;Table of Contents: Online Supplement Volume 16, Number 1s;ACM Trans. Multimedia Comput. Commun. Appl.;;10.1145/3409367
D. N. Anubhav, M. Singh, D. Sethia, D. Kalra and S. Indu;2020;A Comparative Study of Subject-Dependent and Subject-Independent Strategies for EEG-Based Emotion Recognition using LSTM Network;Proceedings of the 2020 the 4th International Conference on Compute and Data Analysis;Silicon Valley, CA, USA;10.1145/3388142.3388167
Y. Bachiller, P. Busch, M. Kavakli and L. Hamey;2018;Survey: Big Data Application in Biomedical Research;Proceedings of the 2018 10th International Conference on Computer and Automation Engineering;Brisbane, Australia;10.1145/3192975.3192986
M. Z. Baig and M. Kavakli;2019;Expertise Classification using Functional Brain Networks and Normalized Transfer Entropy of EEG in Design Applications;Proceedings of the 2019 11th International Conference on Computer and Automation Engineering;Perth, WN, Australia;10.1145/3313991.3314020
T. Baltru_aitis, C. Ahuja and L.-P. Morency;2018;Challenges and applications in multimodal machine learning;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107993
S. Bengio, L. Deng, L.-P. Morency and B. Schuller;2018;Perspectives on predictive power of multimodal deep learning: surprises and future directions;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108006
S. D. Biswas, R. Chakraborty and A. Pramanik;2020;A Brief Survey on Various Prediction Models for Detection of ADHD from Brain-MRI Images;Proceedings of the 21st International Conference on Distributed Computing and Networking;Kolkata, India;10.1145/3369740.3372775
L. Cai, Z. Wang, H. Gao, D. Shen and S. Ji;2018;Deep Adversarial Learning for Multi-Modality Missing Data Completion;"Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining";London, United Kingdom;10.1145/3219819.3219963
S. Chen, J. Zhang, X. Wei and Q. Zhang;2020;Alzheimer's Disease Classification Using Structural MRI Based on Convolutional Neural Networks;2020 2nd International Conference on Big-data Service and Intelligent Computation;Xiamen, China;10.1145/3440054.3440056
J. Choo, H. Kim, E. Clarkson, Z. Liu, C. Lee, F. Li, H. Lee, R. Kannan, C. D. Stolper, J. Stasko and H. Park;2018;VisIRR: A Visual Analytics System for Information Retrieval and Recommendation for Large-Scale Document Data;ACM Trans. Knowl. Discov. Data;;10.1145/3070616
J. Chung, S. A. Chau, N. Herrmann, K. L. Lanctôt and M. Eizenman;2018;Detection of Apathy in Alzheimer Patients by Analysing Visual Scanning Behaviour with RNNs;"Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining";London, United Kingdom;10.1145/3219819.3219908
C. Dai, D. Pi and S. I. Becker;2020;Shapelet-transformed Multi-channel EEG Channel Selection;ACM Trans. Intell. Syst. Technol.;;10.1145/3397850
C. Dai, D. Pi, S. I. Becker, J. Wu, L. Cui and B. Johnson;2020;CenEEGs: Valid EEG Selection for Classification;ACM Trans. Knowl. Discov. Data;;10.1145/3371153
Y. Du, B. Li, Y. Hou and V. D. Calhoun;2020;A deep learning fusion model for brain disorder classification: Application to distinguishing schizophrenia and autism spectrum disorder;Proceedings of the 11th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics;Virtual Event, USA;10.1145/3388440.3412478
A. A. R. Guimaraes, T. Abdou and A. Ba_ar;2019;Deep learning brain regions in Harvard-Oxford atlas using SegNet model;Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering;Toronto, Ontario, Canada;
Y. Höller and A. Uhl;2018;Do EEG-Biometric Templates Threaten User Privacy?;Proceedings of the 6th ACM Workshop on Information Hiding and Multimedia Security;Innsbruck, Austria;10.1145/3206004.3206006
H. Ji, Z. Liu, W. Q. Yan and R. Klette;2019;Early Diagnosis of Alzheimer's Disease Using Deep Learning;Proceedings of the 2nd International Conference on Control and Computer Vision;Jeju, Republic of Korea;10.1145/3341016.3341024
S. Jiang, Z. Li, P. Zhou and M. Li;2019;Memento: An Emotion-driven Lifelogging System with Wearables;ACM Trans. Sen. Netw.;;10.1145/3281630
R. Ju, C. Hu, P. Zhou and Q. Li;2019;Early Diagnosis of Alzheimer's Disease Based on Resting-State Brain Networks and Deep Learning;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2017.2776910
G. Keren, A. E.-D. Mousa, O. Pietquin, S. Zafeiriou and B. Schuller;2018;Deep learning for multisensorial and multimodal interaction;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107996
S. S. Kumar and M. Nandhini;2021;Entropy Slicing Extraction and Transfer Learning Classification for Early Diagnosis of Alzheimer Diseases with sMRI;ACM Trans. Multimedia Comput. Commun. Appl.;;10.1145/3383749
O. Landau, R. Puzis and N. Nissim;2020;Mind Your Mind: EEG-Based Brain-Computer Interfaces and Their Security in Cyber Space;ACM Comput. Surv.;;10.1145/3372043
Y. Li;2020;Early Diagnosis of Alzheimer's Disease Using Hybrid Word Embedding and Linguistic Characteristics;2020 3rd International Conference on Algorithms, Computing and Artificial Intelligence;Sanya, China;10.1145/3446132.3446197
W. Lin;2020;Synthesizing Missing Data using 3D Reversible GAN for Alzheimer's Disease;Proceedings of the 2020 International Symposium on Artificial Intelligence in Medical Sciences;Beijing, China;10.1145/3429889.3429929
J. Liu and B. Woodson;2019;Deep Learning Classification for Epilepsy Detection Using a Single Channel Electroencephalography (EEG);Proceedings of the 2019 3rd International Conference on Deep Learning Technologies;Xiamen, China;10.1145/3342999.3343008
D. Lu, S. Bauer, V. Neubert, L. S. Costard, F. Rosenow and J. Triesch;2020;Staging Epileptogenesis with Deep Neural Networks;Proceedings of the 11th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics;Virtual Event, USA;10.1145/3388440.3412480
P. Luo, G. Kang and X. Xu;2020;A Novel Feature Selection and Classification Method of Alzheimer's Disease based on Multi-features in MRI;Proceedings of the 2020 10th International Conference on Bioscience, Biochemistry and Bioinformatics;Kyoto, Japan;10.1145/3386052.3386072
F. A. Machot, M. Ali, S. Ranasinghe, A. H. Mosa and K. Kyandoghere;2018;Improving Subject-independent Human Emotion Recognition Using Electrodermal Activity Sensors for Active and Assisted Living;Proceedings of the 11th PErvasive Technologies Related to Assistive Environments Conference;Corfu, Greece;10.1145/3197768.3201523
J.-C. Martin, C. Clavel, M. Courgeon, M. Ammi, M.-A. Amorim, Y. Tsalamlal and Y. Gaffary;2018;How do users perceive multimodal expressions of affects?;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108001
B. Mirza, T. Q. Syed, B. Khan and Y. Malik;2021;Potential Deep Learning Solutions to Persistent and Emerging Big Data Challenges—A Practitioners’ Cookbook;ACM Comput. Surv.;;10.1145/3427476
W. S. Monroe, T. Anthony, M. M. Tanik and F. M. Skidmore;2019;Towards a Framework for Validating Machine Learning Results in Medical Imaging: Opening the black box;Proceedings of the Practice and Experience in Advanced Research Computing on Rise of the Machines (learning);Chicago, IL, USA;10.1145/3332186.3332193
A.-F. Nagashbayev and M. F. Demirci;2020;Alzheimer's disease classification using capsule networks on structural MRI;2020 5th International Conference on Biomedical Imaging, Signal Processing;Kitakyushu, Japan;10.1145/3436349.3436363
B. S. Prabakaran, A. G. Jiménez, G. M. Martínez and M. Shafique;2020;"EMAP: a cloud-edge hybrid framework for &lt;u&gt;E&lt;/u&gt;EG &lt;u&gt;m&lt;/u&gt;onitoring and cross-correlation based real-time &lt;u&gt;a&lt;/u&gt;nomaly &lt;u&gt;p&lt;/u&gt;rediction";Proceedings of the 57th ACM/EDAC/IEEE Design Automation Conference;Virtual Event, USA;
M. A. Rahman, A. A. Tutul and A. B. M. A. A. Islam;2020;Solving The Maze of Diagnosing Parkinson’s Disease based on Portable EEG Sensing to be Adaptable to Go In-The-Wild;7th International Conference on Networking, Systems and Security;Dhaka, Bangladesh;10.1145/3428363.3428374
F. Shahid, W. Rahman, M. S. Rahman, S. A. Purabi, A. Seddiqa, M. Mostakim, F. Feroz, T. R. Soron, F. Hossain, N. Khan, A. B. Islam, N. Paul, E. Hoque and A. B. M. A. A. Islam;2020;Leveraging Free-Hand Sketches for Potential Screening of PTSD;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;;10.1145/3411835
Z. Shen and S. Zhang;2020;A Novel Deep-Learning-Based Model for Medical Text Classification;Proceedings of the 2020 9th International Conference on Computing and Pattern Recognition;Xiamen, China;10.1145/3436369.3436469
D. Si, C. Feng, M. Tian, H. Zhao and J. Wen;2019;FCD detection and display based on combination of cortical thickness and PET image;Proceedings of the 2nd International Conference on Artificial Intelligence and Pattern Recognition;Beijing, China;10.1145/3357254.3358602
P. R. Silva;2020;Multimodal deep learning based approach for cells state classification: student research abstract;Proceedings of the 35th Annual ACM Symposium on Applied Computing;Brno, Czech Republic;10.1145/3341105.3374228
S. D. Sims and C. Conati;2020;A Neural Architecture for Detecting User Confusion in Eye-tracking Data;Proceedings of the 2020 International Conference on Multimodal Interaction;Virtual Event, Netherlands;10.1145/3382507.3418828
M. Sokolovsky, F. Guerrero, S. Paisarnsrisomsuk, C. Ruiz and S. A. Alvarez;2020;Deep Learning for Automated Feature Discovery and Classification of Sleep Stages;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2019.2912955
M. Tanveer, B. Richhariya, R. U. Khan, A. H. Rashid, P. Khanna, M. Prasad and C. T. Lin;2020;Machine Learning Techniques for the Diagnosis of Alzheimer’s Disease: A Review;ACM Trans. Multimedia Comput. Commun. Appl.;;10.1145/3344998
D. D. Venuto, V. F. Annese, G. Mezzina, F. Scioscia, M. Ruta, E. D. Sciascio and A. S. Vincentelli;2018;A Mobile Health System for Neurocognitive Impairment Evaluation Based on P300 Detection;ACM Trans. Cyber-Phys. Syst.;;10.1145/3140236
A. Vinciarelli and A. Esposito;2018;Multimodal analysis of social signals;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107999
Y. Yang, X. Zheng and F. Yuan;2018;A Study on Automatic Sleep Stage Classification Based on CNN-LSTM;Proceedings of the 3rd International Conference on Crowd Science and Engineering;Singapore, Singapore;10.1145/3265689.3265693
C. Zhang;2021;Review on Early Biomarkers for Alzheimer's Disease Based on Electroencephalography (EEG) and Event-Related Potentials (ERP's);Proceedings of the 2021 International Conference on Bioinformatics and Intelligent Computing;Harbin, China;10.1145/3448748.3448764
J. Zhou, K. Yu, F. Chen, Y. Wang and S. Z. Arshad;2018;Multimodal behavioral and physiological signals as indicators of cognitive load;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108002
